district_code,area_type,age_group,total_persons,male_persons,female_persons,total_illiterate,male_illiterate,female_illiterate,total_literate,male_literate,female_literate,persons_check,illiterate_check,literate_check,is_valid
0,total,all ages,380581,202871,177710,86300,38494,47806,294281,164377,129904,0,0,0,True
0,rural,all ages,237093,126287,110806,59068,26327,32741,178025,99960,78065,0,0,0,True
0,urban,all ages,143488,76584,66904,27232,12167,15065,116256,64417,51839,0,0,0,True
638,total,all ages,36842,20727,16115,11510,5330,6180,25332,15397,9935,0,0,0,True
638,rural,all ages,36842,20727,16115,11510,5330,6180,25332,15397,9935,0,0,0,True
638,urban,all ages,0,0,0,0,0,0,0,0,0,0,0,0,True
639,total,all ages,105597,54861,50736,26914,11675,15239,78683,43186,35497,0,0,0,True
639,rural,all ages,102856,53457,49399,26235,11401,14834,76621,42056,34565,0,0,0,True
639,urban,all ages,2741,1404,1337,679,274,405,2062,1130,932,0,0,0,True
640,total,all ages,238142,127283,110859,47876,21489,26387,190266,105794,84472,0,0,0,True
640,rural,all ages,97395,52103,45292,21323,9596,11727,76072,42507,33565,0,0,0,True
640,urban,all ages,140747,75180,65567,26553,11893,14660,114194,63287,50907,0,0,0,True
