district_code,area_type,age_group,total_persons,male_persons,female_persons,total_illiterate,male_illiterate,female_illiterate,total_literate,male_literate,female_literate,persons_check,illiterate_check,literate_check,is_valid
0,total,all ages,84580777,42442146,42138631,34024017,14190903,19833114,50556760,28251243,22305517,0,0,0,True
0,rural,all ages,56361702,28243241,28118461,26010637,10847641,15162996,30351065,17395600,12955465,0,0,0,True
0,urban,all ages,28219075,14198905,14020170,8013380,3343262,4670118,20205695,10855643,9350052,0,0,0,True
532,total,all ages,2741239,1369597,1371642,1257892,513247,744645,1483347,856350,626997,0,0,0,True
532,rural,all ages,1980980,985303,995677,1015273,416270,599003,965707,569033,396674,0,0,0,True
532,urban,all ages,760259,384294,375965,242619,96977,145642,517640,287317,230323,0,0,0,True
533,total,all ages,2551335,1250641,1300694,1161525,460427,701098,1389810,790214,599596,0,0,0,True
533,rural,all ages,1962963,958837,1004126,975369,385653,589716,987594,573184,414410,0,0,0,True
533,urban,all ages,588372,291804,296568,186156,74774,111382,402216,217030,185186,0,0,0,True
534,total,all ages,3776269,1880800,1895469,1569440,623562,945878,2206829,1257238,949591,0,0,0,True
534,rural,all ages,2825044,1401950,1423094,1286763,512462,774301,1538281,889488,648793,0,0,0,True
534,urban,all ages,951225,478850,472375,282677,111100,171577,668548,367750,300798,0,0,0,True
535,total,all ages,3033288,1523030,1510258,1396151,569624,826527,1637137,953406,683731,0,0,0,True
535,rural,all ages,2305417,1152806,1152611,1170928,478390,692538,1134489,674416,460073,0,0,0,True
535,urban,all ages,727871,370224,357647,225223,91234,133989,502648,278990,223658,0,0,0,True
536,total,all ages,3943323,2018575,1924748,1051168,475887,575281,2892155,1542688,1349467,0,0,0,True
536,rural,all ages,0,0,0,0,0,0,0,0,0,0,0,0,True
536,urban,all ages,3943323,2018575,1924748,1051168,475887,575281,2892155,1542688,1349467,0,0,0,True
537,total,all ages,5296741,2701008,2595733,1758713,752224,1006489,3538028,1948784,1589244,0,0,0,True
537,rural,all ages,1577569,801013,776556,738382,307520,430862,839187,493493,345694,0,0,0,True
537,urban,all ages,3719172,1899995,1819177,1020331,444704,575627,2698841,1455291,1243550,0,0,0,True
538,total,all ages,4053028,2050386,2002642,2112382,892000,1220382,1940646,1158386,782260,0,0,0,True
538,rural,all ages,3445336,1742438,1702898,1923558,816273,1107285,1521778,926165,595613,0,0,0,True
538,urban,all ages,607692,307948,299744,188824,75727,113097,418868,232221,186647,0,0,0,True
539,total,all ages,3488809,1759772,1729037,1487790,599015,888775,2001019,1160757,840262,0,0,0,True
539,rural,all ages,2826302,1427716,1398586,1310755,530720,780035,1515547,896996,618551,0,0,0,True
539,urban,all ages,662507,332056,330451,177035,68295,108740,485472,263761,221711,0,0,0,True
540,total,all ages,3512576,1759281,1753295,1447553,579491,868062,2065023,1179790,885233,0,0,0,True
540,rural,all ages,2520243,1260594,1259649,1182835,479177,703658,1337408,781417,555991,0,0,0,True
540,urban,all ages,992333,498687,493646,264718,100314,164404,727615,398373,329242,0,0,0,True
541,total,all ages,2797370,1390988,1406382,1167136,489348,677788,1630234,901640,728594,0,0,0,True
541,rural,all ages,2141459,1066781,1074678,991926,419275,572651,1149533,647506,502027,0,0,0,True
541,urban,all ages,655911,324207,331704,175210,70073,105137,480701,254134,226567,0,0,0,True
542,total,all ages,2703114,1341738,1361376,1207733,483914,723819,1495381,857824,637557,0,0,0,True
542,rural,all ages,2266411,1126888,1139523,1079749,434766,644983,1186662,692122,494540,0,0,0,True
542,urban,all ages,436703,214850,221853,127984,49148,78836,308719,165702,143017,0,0,0,True
543,total,all ages,2344474,1161477,1182997,1106086,453974,652112,1238388,707503,530885,0,0,0,True
543,rural,all ages,1853563,920428,933135,961725,397112,564613,891838,523316,368522,0,0,0,True
543,urban,all ages,490911,241049,249862,144361,56862,87499,346550,184187,162363,0,0,0,True
544,total,all ages,4290589,2138910,2151679,1722340,716032,1006308,2568249,1422878,1145371,0,0,0,True
544,rural,all ages,2254667,1113234,1141433,1182500,494837,687663,1072167,618397,453770,0,0,0,True
544,urban,all ages,2035922,1025676,1010246,539840,221195,318645,1496082,804481,691601,0,0,0,True
545,total,all ages,5154296,2569688,2584608,1865719,852755,1012964,3288577,1716933,1571644,0,0,0,True
545,rural,all ages,3840324,1922293,1918031,1510563,698599,811964,2329761,1223694,1106067,0,0,0,True
545,urban,all ages,1313972,647395,666577,355156,154156,201000,958816,493239,465577,0,0,0,True
546,total,all ages,3936966,1964918,1972048,1284577,585695,698882,2652389,1379223,1273166,0,0,0,True
546,rural,all ages,3128189,1567013,1561176,1092559,503338,589221,2035630,1063675,971955,0,0,0,True
546,urban,all ages,808777,397905,410872,192018,82357,109661,616759,315548,301211,0,0,0,True
547,total,all ages,4517398,2267375,2250023,1507680,668416,839264,3009718,1598959,1410759,0,0,0,True
547,rural,all ages,2673738,1343534,1330204,1016146,451924,564222,1657592,891610,765982,0,0,0,True
547,urban,all ages,1843660,923841,919819,491534,216492,275042,1352126,707349,644777,0,0,0,True
548,total,all ages,4887813,2440521,2447292,1927372,805795,1121577,2960441,1634726,1325715,0,0,0,True
548,rural,all ages,3235075,1621491,1613584,1437141,604197,832944,1797934,1017294,780640,0,0,0,True
548,urban,all ages,1652738,819030,833708,490231,201598,288633,1162507,617432,545075,0,0,0,True
549,total,all ages,3397448,1714764,1682684,1493013,607078,885935,1904435,1107686,796749,0,0,0,True
549,rural,all ages,2732866,1382641,1350225,1296953,530053,766900,1435913,852588,583325,0,0,0,True
549,urban,all ages,664582,332123,332459,196060,77025,119035,468522,255098,213424,0,0,0,True
550,total,all ages,2963557,1492974,1470583,1131368,481052,650316,1832189,1011922,820267,0,0,0,True
550,rural,all ages,2105927,1060810,1045117,908308,387864,520444,1197619,672946,524673,0,0,0,True
550,urban,all ages,857630,432164,425466,223060,93188,129872,634570,338976,295594,0,0,0,True
551,total,all ages,2882469,1451777,1430692,1165703,457078,708625,1716766,994699,722067,0,0,0,True
551,rural,all ages,1903337,959693,943644,840981,328753,512228,1062356,630940,431416,0,0,0,True
551,urban,all ages,979132,492084,487048,324722,128325,196397,654410,363759,290651,0,0,0,True
552,total,all ages,4053463,2039227,2014236,1926302,792858,1133444,2127161,1246369,880792,0,0,0,True
552,rural,all ages,2904177,1464569,1439608,1513718,623058,890660,1390459,841511,548948,0,0,0,True
552,urban,all ages,1149286,574658,574628,412584,169800,242784,736702,404858,331844,0,0,0,True
553,total,all ages,4081148,2064495,2016653,1770188,726021,1044167,2310960,1338474,972486,0,0,0,True
553,rural,all ages,2935437,1489157,1446280,1389043,572099,816944,1546394,917058,629336,0,0,0,True
553,urban,all ages,1145711,575338,570373,381145,153922,227223,764566,421416,343150,0,0,0,True
554,total,all ages,4174064,2090204,2083860,1506186,605410,900776,2667878,1484794,1183084,0,0,0,True
554,rural,all ages,2942678,1474052,1468626,1185462,475301,710161,1757216,998751,758465,0,0,0,True
554,urban,all ages,1231386,616152,615234,320724,130109,190615,910662,486043,424619,0,0,0,True
