district_code,area_type,age_group,total_persons,male_persons,female_persons,total_illiterate,male_illiterate,female_illiterate,total_literate,male_literate,female_literate,persons_check,illiterate_check,literate_check,is_valid
0,total,all ages,1383727,713912,669815,617722,274044,343678,766005,439868,326137,0,0,0,True
0,rural,all ages,1066358,546011,520347,530456,236621,293835,535902,309390,226512,0,0,0,True
0,urban,all ages,317369,167901,149468,87266,37423,49843,230103,130478,99625,0,0,0,True
245,total,all ages,49977,29151,20826,23904,11431,12473,26073,17720,8353,0,0,0,True
245,rural,all ages,38775,20792,17983,22256,10757,11499,16519,10035,6484,0,0,0,True
245,urban,all ages,11202,8359,2843,1648,674,974,9554,7685,1869,0,0,0,True
246,total,all ages,83947,46155,37792,35455,16589,18866,48492,29566,18926,0,0,0,True
246,rural,all ages,68015,37809,30206,30552,14456,16096,37463,23353,14110,0,0,0,True
246,urban,all ages,15932,8346,7586,4903,2133,2770,11029,6213,4816,0,0,0,True
247,total,all ages,78690,38775,39915,40241,17176,23065,38449,21599,16850,0,0,0,True
247,rural,all ages,60340,29506,30834,33426,14403,19023,26914,15103,11811,0,0,0,True
247,urban,all ages,18350,9269,9081,6815,2773,4042,11535,6496,5039,0,0,0,True
248,total,all ages,176573,89182,87391,55525,23388,32137,121048,65794,55254,0,0,0,True
248,rural,all ages,79610,39935,39675,30009,12662,17347,49601,27273,22328,0,0,0,True
248,urban,all ages,96963,49247,47716,25516,10726,14790,71447,38521,32926,0,0,0,True
249,total,all ages,83448,41758,41690,38170,16951,21219,45278,24807,20471,0,0,0,True
249,rural,all ages,70043,34840,35203,33984,15225,18759,36059,19615,16444,0,0,0,True
249,urban,all ages,13405,6918,6487,4186,1726,2460,9219,5192,4027,0,0,0,True
250,total,all ages,112274,58168,54106,47528,21391,26137,64746,36777,27969,0,0,0,True
250,rural,all ages,87306,44687,42619,41432,18754,22678,45874,25933,19941,0,0,0,True
250,urban,all ages,24968,13481,11487,6096,2637,3459,18872,10844,8028,0,0,0,True
251,total,all ages,99214,50116,49098,36638,15906,20732,62576,34210,28366,0,0,0,True
251,rural,all ages,71579,36147,35432,28515,12453,16062,43064,23694,19370,0,0,0,True
251,urban,all ages,27635,13969,13666,8123,3453,4670,19512,10516,8996,0,0,0,True
252,total,all ages,35320,18699,16621,17125,7976,9149,18195,10723,7472,0,0,0,True
252,rural,all ages,28780,15335,13445,15062,7055,8007,13718,8280,5438,0,0,0,True
252,urban,all ages,6540,3364,3176,2063,921,1142,4477,2443,2034,0,0,0,True
253,total,all ages,148226,76948,71278,75052,32921,42131,73174,44027,29147,0,0,0,True
253,rural,all ages,128998,66283,62715,70251,30860,39391,58747,35423,23324,0,0,0,True
253,urban,all ages,19228,10665,8563,4801,2061,2740,14427,8604,5823,0,0,0,True
254,total,all ages,111975,57604,54371,64001,28291,35710,47974,29313,18661,0,0,0,True
254,rural,all ages,91165,46185,44980,57866,25557,32309,33299,20628,12671,0,0,0,True
254,urban,all ages,20810,11419,9391,6135,2734,3401,14675,8685,5990,0,0,0,True
255,total,all ages,83030,41843,41187,28973,12373,16600,54057,29470,24587,0,0,0,True
255,rural,all ages,70224,35460,34764,25896,11084,14812,44328,24376,19952,0,0,0,True
255,urban,all ages,12806,6383,6423,3077,1289,1788,9729,5094,4635,0,0,0,True
256,total,all ages,92076,45318,46758,55470,25060,30410,36606,20258,16348,0,0,0,True
256,rural,all ages,89731,44072,45659,54432,24586,29846,35299,19486,15813,0,0,0,True
256,urban,all ages,2345,1246,1099,1038,474,564,1307,772,535,0,0,0,True
257,total,all ages,8004,4414,3590,3568,1800,1768,4436,2614,1822,0,0,0,True
257,rural,all ages,5620,3098,2522,2928,1511,1417,2692,1587,1105,0,0,0,True
257,urban,all ages,2384,1316,1068,640,289,351,1744,1027,717,0,0,0,True
258,total,all ages,54080,28053,26027,22231,9966,12265,31849,18087,13762,0,0,0,True
258,rural,all ages,42691,21989,20702,19886,8910,10976,22805,13079,9726,0,0,0,True
258,urban,all ages,11389,6064,5325,2345,1056,1289,9044,5008,4036,0,0,0,True
259,total,all ages,145726,76221,69505,62664,27841,34823,83062,48380,34682,0,0,0,True
259,rural,all ages,113296,58991,54305,53044,23539,29505,60252,35452,24800,0,0,0,True
259,urban,all ages,32430,17230,15200,9620,4302,5318,22810,12928,9882,0,0,0,True
260,total,all ages,21167,11507,9660,11177,4984,6193,9990,6523,3467,0,0,0,True
260,rural,all ages,20185,10882,9303,10917,4809,6108,9268,6073,3195,0,0,0,True
260,urban,all ages,982,625,357,260,175,85,722,450,272,0,0,0,True
