district_code,area_type,age_group,total_persons,male_persons,female_persons,total_illiterate,male_illiterate,female_illiterate,total_literate,male_literate,female_literate,persons_check,illiterate_check,literate_check,is_valid
0,total,all ages,31205576,15939443,15266133,12027599,5370804,6656795,19177977,10568639,8609338,0,0,0,True
0,rural,all ages,26807034,13678989,13128045,11121598,4972796,6148802,15685436,8706193,6979243,0,0,0,True
0,urban,all ages,4398542,2260454,2138088,906001,398008,507993,3492541,1862446,1630095,0,0,0,True
300,total,all ages,887142,452905,434237,397837,177685,220152,489305,275220,214085,0,0,0,True
300,rural,all ages,832201,424446,407755,386311,172788,213523,445890,251658,194232,0,0,0,True
300,urban,all ages,54941,28459,26482,11526,4897,6629,43415,23562,19853,0,0,0,True
301,total,all ages,1949258,997848,951410,1026917,486297,540620,922341,511551,410790,0,0,0,True
301,rural,all ages,1745557,893914,851643,971911,462519,509392,773646,431395,342251,0,0,0,True
301,urban,all ages,203701,103934,99767,55006,23778,31228,148695,80156,68539,0,0,0,True
302,total,all ages,1008183,513292,494891,444606,208990,235616,563577,304302,259275,0,0,0,True
302,rural,all ages,870121,443244,426877,396733,187159,209574,473388,256085,217303,0,0,0,True
302,urban,all ages,138062,70048,68014,47873,21831,26042,90189,48217,41972,0,0,0,True
303,total,all ages,1693622,867004,826618,796564,367966,428598,897058,499038,398020,0,0,0,True
303,rural,all ages,1546269,791789,754480,763807,354087,409720,782462,437702,344760,0,0,0,True
303,urban,all ages,147353,75215,72138,32757,13879,18878,114596,61336,53260,0,0,0,True
304,total,all ages,957423,486651,470772,417521,196953,220568,539902,289698,250204,0,0,0,True
304,rural,all ages,884125,449123,435002,398595,188520,210075,485530,260603,224927,0,0,0,True
304,urban,all ages,73298,37528,35770,18926,8433,10493,54372,29095,25277,0,0,0,True
305,total,all ages,2823768,1439112,1384656,1113052,517262,595790,1710716,921850,788866,0,0,0,True
305,rural,all ages,2454234,1250985,1203249,1031734,481468,550266,1422500,769517,652983,0,0,0,True
305,urban,all ages,369534,188127,181407,81318,35794,45524,288216,152333,135883,0,0,0,True
306,total,all ages,1924110,983904,940206,815538,363379,452159,1108572,620525,488047,0,0,0,True
306,rural,all ages,1750265,894985,855280,782526,348834,433692,967739,546151,421588,0,0,0,True
306,urban,all ages,173845,88919,84926,33012,14545,18467,140833,74374,66459,0,0,0,True
307,total,all ages,1042137,529674,512463,358651,154122,204529,683486,375552,307934,0,0,0,True
307,rural,all ages,950804,482582,468222,337628,144776,192852,613176,337806,275370,0,0,0,True
307,urban,all ages,91333,47092,44241,21023,9346,11677,70310,37746,32564,0,0,0,True
308,total,all ages,686133,351249,334884,263105,113488,149617,423028,237761,185267,0,0,0,True
308,rural,all ages,637848,326278,311570,250436,107896,142540,387412,218382,169030,0,0,0,True
308,urban,all ages,48285,24971,23314,12669,5592,7077,35616,19379,16237,0,0,0,True
309,total,all ages,1327929,680231,647698,529607,226782,302825,798322,453449,344873,0,0,0,True
309,rural,all ages,1063186,541395,521791,472577,201524,271053,590609,339871,250738,0,0,0,True
309,urban,all ages,264743,138836,125907,57030,25258,31772,207713,113578,94135,0,0,0,True
310,total,all ages,1326335,676434,649901,441804,185073,256731,884531,491361,393170,0,0,0,True
310,rural,all ages,1082605,550299,532306,397032,165177,231855,685573,385122,300451,0,0,0,True
310,urban,all ages,243730,126135,117595,44772,19896,24876,198958,106239,92719,0,0,0,True
311,total,all ages,1151050,589216,561834,337545,144449,193096,813505,444767,368738,0,0,0,True
311,rural,all ages,1040954,531286,509668,317464,135014,182450,723490,396272,327218,0,0,0,True
311,urban,all ages,110096,57930,52166,20081,9435,10646,90015,48495,41520,0,0,0,True
312,total,all ages,1092256,556805,535451,297327,124470,172857,794929,432335,362594,0,0,0,True
312,rural,all ages,871722,442968,428754,256974,106270,150704,614748,336698,278050,0,0,0,True
312,urban,all ages,220534,113837,106697,40353,18200,22153,180181,95637,84544,0,0,0,True
313,total,all ages,1066888,543161,523727,345124,146686,198438,721764,396475,325289,0,0,0,True
313,rural,all ages,969152,493125,476027,328174,139086,189088,640978,354039,286939,0,0,0,True
313,urban,all ages,97736,50036,47700,16950,7600,9350,80786,42436,38350,0,0,0,True
314,total,all ages,956313,490167,466146,399099,175914,223185,557214,314253,242961,0,0,0,True
314,rural,all ages,843347,431924,411423,373237,164710,208527,470110,267214,202896,0,0,0,True
314,urban,all ages,112966,58243,54723,25862,11204,14658,87104,47039,40065,0,0,0,True
315,total,all ages,214102,110802,103300,73229,32243,40986,140873,78559,62314,0,0,0,True
315,rural,all ages,151613,77817,73796,61604,27159,34445,90009,50658,39351,0,0,0,True
315,urban,all ages,62489,32985,29504,11625,5084,6541,50864,27901,22963,0,0,0,True
316,total,all ages,1736617,886284,850333,562489,246338,316151,1174128,639946,534182,0,0,0,True
316,rural,all ages,1421153,727083,694070,497417,217462,279955,923736,509621,414115,0,0,0,True
316,urban,all ages,315464,159201,156263,65072,28876,36196,250392,130325,120067,0,0,0,True
317,total,all ages,1228686,625864,602822,433389,189922,243467,795297,435942,359355,0,0,0,True
317,rural,all ages,1118986,570510,548476,414726,181664,233062,704260,388846,315414,0,0,0,True
317,urban,all ages,109700,55354,54346,18663,8258,10405,91037,47096,43941,0,0,0,True
318,total,all ages,659296,337890,321406,251930,111054,140876,407366,226836,180530,0,0,0,True
318,rural,all ages,611156,313747,297409,244194,107658,136536,366962,206089,160873,0,0,0,True
318,urban,all ages,48140,24143,23997,7736,3396,4340,40404,20747,19657,0,0,0,True
319,total,all ages,738804,375818,362986,304726,138704,166022,434078,237114,196964,0,0,0,True
319,rural,all ages,628994,319786,309208,281125,128628,152497,347869,191158,156711,0,0,0,True
319,urban,all ages,109810,56032,53778,23601,10076,13525,86209,45956,40253,0,0,0,True
320,total,all ages,482162,244860,237302,222260,98991,123269,259902,145869,114033,0,0,0,True
320,rural,all ages,446825,226895,219930,212362,94793,117569,234463,132102,102361,0,0,0,True
320,urban,all ages,35337,17965,17372,9898,4198,5700,25439,13767,11672,0,0,0,True
321,total,all ages,1517542,778461,739081,522223,228242,293981,995319,550219,445100,0,0,0,True
321,rural,all ages,1375148,706140,669008,493366,216533,276833,881782,489607,392175,0,0,0,True
321,urban,all ages,142394,72321,70073,28857,11709,17148,113537,60612,52925,0,0,0,True
322,total,all ages,1253938,647585,606353,252747,110358,142389,1001191,537227,463964,0,0,0,True
322,rural,all ages,216927,111062,105865,71986,30959,41027,144941,80103,64838,0,0,0,True
322,urban,all ages,1037011,536523,500488,180761,79399,101362,856250,457124,399126,0,0,0,True
323,total,all ages,771639,396006,375633,239868,102822,137046,531771,293184,238587,0,0,0,True
323,rural,all ages,688909,353677,335232,224698,96537,128161,464211,257140,207071,0,0,0,True
323,urban,all ages,82730,42329,40401,15170,6285,8885,67560,36044,31516,0,0,0,True
324,total,all ages,950075,481330,468745,377238,158716,218522,572837,322614,250223,0,0,0,True
324,rural,all ages,937833,475027,462806,372973,156847,216126,564860,318180,246680,0,0,0,True
324,urban,all ages,12242,6303,5939,4265,1869,2396,7977,4434,3543,0,0,0,True
325,total,all ages,928500,475273,453227,441461,206607,234854,487039,268666,218373,0,0,0,True
325,rural,all ages,873006,446460,426546,428931,201149,227782,444075,245311,198764,0,0,0,True
325,urban,all ages,55494,28813,26681,12530,5458,7072,42964,23355,19609,0,0,0,True
326,total,all ages,831668,421617,410051,361742,157291,204451,469926,264326,205600,0,0,0,True
326,rural,all ages,794094,402442,391652,353077,153579,199498,441017,248863,192154,0,0,0,True
326,urban,all ages,37574,19175,18399,8665,3712,4953,28909,15463,13446,0,0,0,True
