district_code,area_type,age_group,total_persons,male_persons,female_persons,total_illiterate,male_illiterate,female_illiterate,total_literate,male_literate,female_literate,persons_check,illiterate_check,literate_check,is_valid
0,total,all ages,104099452,54278157,49821295,51594899,22670134,28924765,52504553,31608023,20896530,0,0,0,True
0,rural,all ages,92341436,48073850,44267586,47529284,20832020,26697264,44812152,27241830,17570322,0,0,0,True
0,urban,all ages,11758016,6204307,5553709,4065615,1838114,2227501,7692401,4366193,3326208,0,0,0,True
203,total,all ages,3935042,2061110,1873932,2175561,969884,1205677,1759481,1091226,668255,0,0,0,True
203,rural,all ages,3541877,1853809,1688068,2016473,897416,1119057,1525404,956393,569011,0,0,0,True
203,urban,all ages,393165,207301,185864,159088,72468,86620,234077,134833,99244,0,0,0,True
204,total,all ages,5099371,2681209,2418162,2822414,1273606,1548808,2276957,1407603,869354,0,0,0,True
204,rural,all ages,4698028,2468181,2229847,2659248,1198281,1460967,2038780,1269900,768880,0,0,0,True
204,urban,all ages,401343,213028,188315,163166,75325,87841,238177,137703,100474,0,0,0,True
205,total,all ages,656246,346673,309573,372548,175028,197520,283698,171645,112053,0,0,0,True
205,rural,all ages,628130,331792,296338,358507,168631,189876,269623,163161,106462,0,0,0,True
205,urban,all ages,28116,14881,13235,14041,6397,7644,14075,8484,5591,0,0,0,True
206,total,all ages,3423574,1803252,1620322,1986780,918064,1068716,1436794,885188,551606,0,0,0,True
206,rural,all ages,3233076,1701685,1531391,1912107,883493,1028614,1320969,818192,502777,0,0,0,True
206,urban,all ages,190498,101567,88931,74673,34571,40102,115825,66996,48829,0,0,0,True
207,total,all ages,4487379,2329313,2158066,2332041,989228,1342813,2155338,1340085,815253,0,0,0,True
207,rural,all ages,4325884,2244287,2081597,2266989,960662,1306327,2058895,1283625,775270,0,0,0,True
207,urban,all ages,161495,85026,76469,65052,28566,36486,96443,56460,39983,0,0,0,True
208,total,all ages,2229076,1155283,1073793,1195793,507611,688182,1033283,647672,385611,0,0,0,True
208,rural,all ages,2123518,1099495,1024023,1154174,489507,664667,969344,609988,359356,0,0,0,True
208,urban,all ages,105558,55788,49770,41619,18104,23515,63939,37684,26255,0,0,0,True
209,total,all ages,2811569,1463333,1348236,1615801,735690,880111,1195768,727643,468125,0,0,0,True
209,rural,all ages,2642792,1374254,1268538,1548389,704686,843703,1094403,669568,424835,0,0,0,True
209,urban,all ages,168777,89079,79698,67412,31004,36408,101365,58075,43290,0,0,0,True
210,total,all ages,1690400,866970,823430,945344,427049,518295,745056,439921,305135,0,0,0,True
210,rural,all ages,1529277,783318,745959,879811,397008,482803,649466,386310,263156,0,0,0,True
210,urban,all ages,161123,83652,77471,65533,30041,35492,95590,53611,41979,0,0,0,True
211,total,all ages,3264619,1699370,1565249,1932293,894109,1038184,1332326,805261,527065,0,0,0,True
211,rural,all ages,2921614,1519522,1402092,1799989,833009,966980,1121625,686513,435112,0,0,0,True
211,urban,all ages,343005,179848,163157,132304,61100,71204,210701,118748,91953,0,0,0,True
212,total,all ages,3071029,1600430,1470599,1790839,838174,952665,1280190,762256,517934,0,0,0,True
212,rural,all ages,2797207,1455744,1341463,1697450,795660,901790,1099757,660084,439673,0,0,0,True
