district_code,area_type,age_group,total_persons,male_persons,female_persons,total_illiterate,male_illiterate,female_illiterate,total_literate,male_literate,female_literate,persons_check,illiterate_check,literate_check,is_valid
0,total,all ages,25545198,12832895,12712303,10165276,4025002,6140274,15379922,8807893,6572029,0,0,0,True
0,rural,all ages,19607961,9797426,9810535,8599005,3394414,5204591,11008956,6403012,4605944,0,0,0,True
0,urban,all ages,5937237,3035469,2901768,1566271,630588,935683,4370966,2404881,1966085,0,0,0,True
400,total,all ages,658917,334737,324180,261094,104814,156280,397823,229923,167900,0,0,0,True
400,rural,all ages,453618,228338,225280,204462,82487,121975,249156,145851,103305,0,0,0,True
400,urban,all ages,205299,106399,98900,56632,22327,34305,148667,84072,64595,0,0,0,True
401,total,all ages,2359886,1193129,1166757,1171945,498443,673502,1187941,694686,493255,0,0,0,True
401,rural,all ages,2116965,1067908,1049057,1108567,471621,636946,1008398,596287,412111,0,0,0,True
401,urban,all ages,242921,125221,117700,63378,26822,36556,179543,98399,81144,0,0,0,True
402,total,all ages,851669,424747,426922,356254,144091,212163,495415,280656,214759,0,0,0,True
402,rural,all ages,775677,386307,389370,335859,135690,200169,439818,250617,189201,0,0,0,True
402,urban,all ages,75992,38440,37552,20395,8401,11994,55597,30039,25558,0,0,0,True
403,total,all ages,1493984,750278,743706,542345,207522,334823,951639,542756,408883,0,0,0,True
403,rural,all ages,1247682,623817,623865,479531,182486,297045,768151,441331,326820,0,0,0,True
403,urban,all ages,246302,126461,119841,62814,25036,37778,183488,101425,82063,0,0,0,True
404,total,all ages,1206640,612915,593725,457881,179524,278357,748759,433391,315368,0,0,0,True
404,rural,all ages,760350,381424,378926,337600,131560,206040,422750,249864,172886,0,0,0,True
404,urban,all ages,446290,231491,214799,120281,47964,72317,326009,183527,142482,0,0,0,True
405,total,all ages,1619707,815717,803990,600073,222038,378035,1019634,593679,425955,0,0,0,True
405,rural,all ages,1394646,701401,693245,535246,197657,337589,859400,503744,355656,0,0,0,True
405,urban,all ages,225061,114316,110745,64827,24381,40446,160234,89935,70299,0,0,0,True
406,total,all ages,2663629,1351574,1312055,1067069,419100,647969,1596560,932474,664086,0,0,0,True
406,rural,all ages,1983759,1002520,981239,888272,346255,542017,1095487,656265,439222,0,0,0,True
406,urban,all ages,679870,349054,330816,178797,72845,105952,501073,276209,224864,0,0,0,True
407,total,all ages,822526,412058,410468,408359,163555,244804,414167,248503,165664,0,0,0,True
407,rural,all ages,735131,367941,367190,377830,150955,226875,357301,216986,140315,0,0,0,True
407,urban,all ages,87395,44117,43278,30529,12600,17929,56866,31517,25349,0,0,0,True
408,total,all ages,1537133,762855,774278,528754,201500,327254,1008379,561355,447024,0,0,0,True
408,rural,all ages,1264621,626212,638409,461695,174988,286707,802926,451224,351702,0,0,0,True
408,urban,all ages,272512,136643,135869,67059,26512,40547,205453,110131,95322,0,0,0,True
409,total,all ages,3343872,1682101,1661771,1040494,397489,643005,2303378,1284612,1018766,0,0,0,True
409,rural,all ages,2059107,1026152,1032955,728954,273932,455022,1330153,752220,577933,0,0,0,True
409,urban,all ages,1284765,655949,628816,311540,123557,187983,973225,532392,440833,0,0,0,True
410,total,all ages,4063872,2048186,2015686,1434123,555028,879095,2629749,1493158,1136591,0,0,0,True
410,rural,all ages,2580583,1288567,1292016,1034869,390269,644600,1545714,898298,647416,0,0,0,True
410,urban,all ages,1483289,759619,723670,399254,164759,234495,1084035,594860,489175,0,0,0,True
411,total,all ages,1032754,511967,520787,394791,147878,246913,637963,364089,273874,0,0,0,True
411,rural,all ages,912602,451691,460911,360535,134520,226015,552067,317171,234896,0,0,0,True
411,urban,all ages,120152,60276,59876,34256,13358,20898,85896,46918,38978,0,0,0,True
412,total,all ages,799781,397897,401884,252948,93973,158975,546833,303924,242909,0,0,0,True
412,rural,all ages,650586,323420,327166,214761,79370,135391,435825,244050,191775,0,0,0,True
412,urban,all ages,149195,74477,74718,38187,14603,23584,111008,59874,51134,0,0,0,True
413,total,all ages,748941,373338,375603,292899,115040,177859,456042,258298,197744,0,0,0,True
413,rural,all ages,672180,335149,337031,275321,108086,167235,396859,227063,169796,0,0,0,True
413,urban,all ages,76761,38189,38572,17578,6954,10624,59183,31235,27948,0,0,0,True
414,total,all ages,1413199,698487,714712,762336,316152,446184,650863,382335,268528,0,0,0,True
414,rural,all ages,1219705,600652,619053,708648,294754,413894,511057,305898,205159,0,0,0,True
414,urban,all ages,193494,97835,95659,53688,21398,32290,139806,76437,63369,0,0,0,True
415,total,all ages,139820,70104,69716,83199,36655,46544,56621,33449,23172,0,0,0,True
415,rural,all ages,117714,58653,59061,77247,34407,42840,40467,24246,16221,0,0,0,True
415,urban,all ages,22106,11451,10655,5952,2248,3704,16154,9203,6951,0,0,0,True
416,total,all ages,533638,264142,269496,342401,147613,194788,191237,116529,74708,0,0,0,True
416,rural,all ages,437405,213930,223475,312024,135165,176859,125381,78765,46616,0,0,0,True
416,urban,all ages,96233,50212,46021,30377,12448,17929,65856,37764,28092,0,0,0,True
417,total,all ages,255230,128663,126567,168311,74587,93724,86919,54076,32843,0,0,0,True
417,rural,all ages,225630,113344,112286,157584,70212,87372,68046,43132,24914,0,0,0,True
417,urban,all ages,29600,15319,14281,10727,4375,6352,18873,10944,7929,0,0,0,True
