district_code,area_type,age_group,total_persons,male_persons,female_persons,total_illiterate,male_illiterate,female_illiterate,total_literate,male_literate,female_literate,persons_check,illiterate_check,literate_check,is_valid
0,total,all ages,60439692,31491260,28948432,19346334,8016387,11329947,41093358,23474873,17618485,0,0,0,True
0,rural,all ages,34694609,17799159,16895450,13273767,5331516,7942251,21420842,12467643,8953199,0,0,0,True
0,urban,all ages,25745083,13692101,12052982,6072567,2684871,3387696,19672516,11007230,8665286,0,0,0,True
468,total,all ages,2092371,1096737,995634,840052,357498,482554,1252319,739239,513080,0,0,0,True
468,rural,all ages,1363836,713524,650312,622914,264339,358575,740922,449185,291737,0,0,0,True
468,urban,all ages,728535,383213,345322,217138,93159,123979,511397,290054,221343,0,0,0,True
469,total,all ages,3120506,1610379,1510127,1415583,561977,853606,1704923,1048402,656521,0,0,0,True
469,rural,all ages,2705591,1393741,1311850,1290027,512102,777925,1415564,881639,533925,0,0,0,True
469,urban,all ages,414915,216638,198277,125556,49875,75681,289359,166763,122596,0,0,0,True
470,total,all ages,1343734,694397,649337,505821,199766,306055,837913,494631,343282,0,0,0,True
470,rural,all ages,1062653,548324,514329,432036,169754,262282,630617,378570,252047,0,0,0,True
470,urban,all ages,281081,146073,135008,73785,30012,43773,207296,116061,91235,0,0,0,True
471,total,all ages,2035064,1056520,978544,532419,209021,323398,1502645,847499,655146,0,0,0,True
471,rural,all ages,1520734,787175,733559,424925,163410,261515,1095809,623765,472044,0,0,0,True
471,urban,all ages,514330,269345,244985,107494,45611,61883,406836,223734,183102,0,0,0,True
472,total,all ages,2428589,1244231,1184358,849855,325606,524249,1578734,918625,660109,0,0,0,True
472,rural,all ages,2064869,1056141,1008728,756880,287636,469244,1307989,768505,539484,0,0,0,True
472,urban,all ages,363720,188090,175630,92975,37970,55005,270745,150120,120625,0,0,0,True
473,total,all ages,1391753,723864,667889,361259,141178,220081,1030494,582686,447808,0,0,0,True
473,rural,all ages,791126,408436,382690,227153,85131,142022,563973,323305,240668,0,0,0,True
473,urban,all ages,600627,315428,285199,134106,56047,78059,466521,259381,207140,0,0,0,True
474,total,all ages,7214225,3788051,3426174,1778465,762588,1015877,5435760,3025463,2410297,0,0,0,True
474,rural,all ages,1151178,595583,555595,448100,172605,275495,703078,422978,280100,0,0,0,True
474,urban,all ages,6063047,3192468,2870579,1330365,589983,740382,4732682,2602485,2130197,0,0,0,True
475,total,all ages,1756268,909917,846351,662642,266696,395946,1093626,643221,450405,0,0,0,True
475,rural,all ages,1259352,649475,609877,528649,211818,316831,730703,437657,293046,0,0,0,True
475,urban,all ages,496916,260442,236474,133993,54878,79115,362923,205564,157359,0,0,0,True
476,total,all ages,3804558,1974445,1830113,1079502,460370,619132,2725056,1514075,1210981,0,0,0,True
476,rural,all ages,1590508,816264,774244,546573,223509,323064,1043935,592755,451180,0,0,0,True
476,urban,all ages,2214050,1158181,1055869,532929,236861,296068,1681121,921320,759801,0,0,0,True
477,total,all ages,2160119,1114192,1045927,763585,319052,444533,1396534,795140,601394,0,0,0,True
477,rural,all ages,1189054,610088,578966,473319,195090,278229,715735,414998,300737,0,0,0,True
477,urban,all ages,971065,504104,466961,290266,123962,166304,680799,380142,300657,0,0,0,True
478,total,all ages,585449,300209,285240,191771,78588,113183,393678,221621,172057,0,0,0,True
478,rural,all ages,299775,153260,146515,116582,47522,69060,183193,105738,77455,0,0,0,True
