district_code,area_type,age_group,total_persons,male_persons,female_persons,total_illiterate,male_illiterate,female_illiterate,total_literate,male_literate,female_literate,persons_check,illiterate_check,literate_check,is_valid
0,total,all ages,25351462,13494734,11856728,8752474,3700667,5051807,16598988,9794067,6804921,0,0,0,True
0,rural,all ages,16509359,8774006,7735353,6350917,2633907,3717010,10158442,6140099,4018343,0,0,0,True
0,urban,all ages,8842103,4720728,4121375,2401557,1066760,1334797,6440546,3653968,2786578,0,0,0,True
69,total,all ages,561293,299679,261614,155975,69817,86158,405318,229862,175456,0,0,0,True
69,rural,all ages,248063,133153,114910,84636,37227,47409,163427,95926,67501,0,0,0,True
69,urban,all ages,313230,166526,146704,71339,32590,38749,241891,133936,107955,0,0,0,True
70,total,all ages,1128350,598703,529647,310325,137415,172910,818025,461288,356737,0,0,0,True
70,rural,all ages,627576,331703,295873,200934,87421,113513,426642,244282,182360,0,0,0,True
70,urban,all ages,500774,267000,233774,109391,49994,59397,391383,217006,174377,0,0,0,True
71,total,all ages,1214205,646718,567487,381748,171925,209823,832457,474793,357664,0,0,0,True
71,rural,all ages,741376,393957,347419,263563,117124,146439,477813,276833,200980,0,0,0,True
71,urban,all ages,472829,252761,220068,118185,54801,63384,354644,197960,156684,0,0,0,True
72,total,all ages,964655,510976,453679,317762,140148,177614,646893,370828,276065,0,0,0,True
72,rural,all ages,685430,361020,324410,247759,107733,140026,437671,253287,184384,0,0,0,True
72,urban,all ages,279225,149956,129269,70003,32415,37588,209222,117541,91681,0,0,0,True
73,total,all ages,1074304,571003,503301,427775,185221,242554,646529,385782,260747,0,0,0,True
73,rural,all ages,838293,445931,392362,353070,152865,200205,485223,293066,192157,0,0,0,True
73,urban,all ages,236011,125072,110939,74705,32356,42349,161306,92716,68590,0,0,0,True
74,total,all ages,1505324,797712,707612,527311,233196,294115,978013,564516,413497,0,0,0,True
74,rural,all ages,1050514,557110,493404,402631,176224,226407,647883,380886,266997,0,0,0,True
74,urban,all ages,454810,240602,214208,124680,56972,67708,330130,183630,146500,0,0,0,True
75,total,all ages,1205437,646857,558580,418838,182721,236117,786599,464136,322463,0,0,0,True
75,rural,all ages,650352,349642,300710,247408,105928,141480,402944,243714,159230,0,0,0,True
75,urban,all ages,555085,297215,257870,171430,76793,94637,383655,220422,163233,0,0,0,True
76,total,all ages,1450001,781299,668702,451685,191418,260267,998316,589881,408435,0,0,0,True
76,rural,all ages,996637,538750,457887,331496,138638,192858,665141,400112,265029,0,0,0,True
76,urban,all ages,453364,242549,210815,120189,52780,67409,333175,189769,143406,0,0,0,True
77,total,all ages,1334152,713006,621146,501394,210957,290437,832758,502049,330709,0,0,0,True
77,rural,all ages,1028569,550519,478050,410854,172552,238302,617715,377967,239748,0,0,0,True
77,urban,all ages,305583,162487,143096,90540,38405,52135,215043,124082,90961,0,0,0,True
78,total,all ages,942011,495360,446651,384433,167889,216544,557578,327471,230107,0,0,0,True
78,rural,all ages,762423,400814,361609,327892,142000,185892,434531,258814,175717,0,0,0,True
78,urban,all ages,179588,94546,85042,56541,25889,30652,123047,68657,54390,0,0,0,True
79,total,all ages,1295189,682582,612607,512292,225614,286678,782897,456968,325929,0,0,0,True
79,rural,all ages,975941,514177,461764,416306,182187,234119,559635,331990,227645,0,0,0,True
79,urban,all ages,319248,168405,150843,95986,43427,52559,223262,124978,98284,0,0,0,True
80,total,all ages,1743931,931562,812369,629620,261362,368258,1114311,670200,444111,0,0,0,True
80,rural,all ages,1190443,634139,556304,475647,195113,280534,714796,439026,275770,0,0,0,True
80,urban,all ages,553488,297423,256065,153973,66249,87724,399515,231174,168341,0,0,0,True
81,total,all ages,1634445,866672,767773,564574,223514,341060,1069871,643158,426713,0,0,0,True
81,rural,all ages,1313123,696212,616911,472961,184449,288512,840162,511763,328399,0,0,0,True
81,urban,all ages,321322,170460,150862,91613,39065,52548,229709,131395,98314,0,0,0,True
82,total,all ages,1061204,568479,492725,313622,132454,181168,747582,436025,311557,0,0,0,True
82,rural,all ages,615040,332034,283006,202373,83184,119189,412667,248850,163817,0,0,0,True
82,urban,all ages,446164,236445,209719,111249,49270,61979,334915,187175,147740,0,0,0,True
83,total,all ages,958405,514667,443738,282314,115187,167127,676091,399480,276611,0,0,0,True
83,rural,all ages,715066,384219,330847,218611,87386,131225,496455,296833,199622,0,0,0,True
83,urban,all ages,243339,130448,112891,63703,27801,35902,179636,102647,76989,0,0,0,True
84,total,all ages,922088,486665,435423,291833,106225,185608,630255,380440,249815,0,0,0,True
84,rural,all ages,789233,416358,372875,255791,91617,164174,533442,324741,208701,0,0,0,True
84,urban,all ages,132855,70307,62548,36042,14608,21434,96813,55699,41114,0,0,0,True
85,total,all ages,900332,474335,425997,263385,98882,164503,636947,375453,261494,0,0,0,True
85,rural,all ages,666902,349710,317192,202450,73152,129298,464452,276558,187894,0,0,0,True
85,urban,all ages,233430,124625,108805,60935,25730,35205,172495,98895,73600,0,0,0,True
86,total,all ages,1514432,816690,697742,403316,178024,225292,1111116,638666,472450,0,0,0,True
86,rural,all ages,472179,251462,220717,148092,59174,88918,324087,192288,131799,0,0,0,True
86,urban,all ages,1042253,565228,477025,255224,118850,136374,787029,446378,340651,0,0,0,True
87,total,all ages,1089263,571162,518101,634366,262727,371639,454897,308435,146462,0,0,0,True
87,rural,all ages,965157,506086,459071,580408,240000,340408,384749,266086,118663,0,0,0,True
87,urban,all ages,124106,65076,59030,53958,22727,31231,70148,42349,27799,0,0,0,True
88,total,all ages,1809733,966110,843623,536994,231170,305824,1272739,734940,537799,0,0,0,True
88,rural,all ages,370878,198103,172775,143856,58386,85470,227022,139717,87305,0,0,0,True
88,urban,all ages,1438855,768007,670848,393138,172784,220354,1045717,595223,450494,0,0,0,True
89,total,all ages,1042708,554497,488211,442912,174801,268111,599796,379696,220100,0,0,0,True
89,rural,all ages,806164,428907,377257,364179,141547,222632,441985,287360,154625,0,0,0,True
89,urban,all ages,236544,125590,110954,78733,33254,45479,157811,92336,65475,0,0,0,True
