district_code,area_type,age_group,total_persons,male_persons,female_persons,total_illiterate,male_illiterate,female_illiterate,total_literate,male_literate,female_literate,persons_check,illiterate_check,literate_check,is_valid
0,total,all ages,6864602,3481873,3382729,1824866,729283,1095583,5039736,2752590,2287146,0,0,0,True
0,rural,all ages,6176050,3110345,3065705,1704314,672524,1031790,4471736,2437821,2033915,0,0,0,True
0,urban,all ages,688552,371528,317024,120552,56759,63793,568000,314769,253231,0,0,0,True
23,total,all ages,519080,261320,257760,195238,75256,119982,323842,186064,137778,0,0,0,True
23,rural,all ages,482972,241963,241009,189289,72692,116597,293683,169271,124412,0,0,0,True
23,urban,all ages,36108,19357,16751,5949,2564,3385,30159,16793,13366,0,0,0,True
24,total,all ages,1510075,750591,759484,357435,144148,213287,1152640,606443,546197,0,0,0,True
24,rural,all ages,1423794,705365,718429,341352,136801,204551,1082442,568564,513878,0,0,0,True
24,urban,all ages,86281,45226,41055,16083,7347,8736,70198,37879,32319,0,0,0,True
25,total,all ages,31564,16588,14976,9719,3691,6028,21845,12897,8948,0,0,0,True
25,rural,all ages,31564,16588,14976,9719,3691,6028,21845,12897,8948,0,0,0,True
25,urban,all ages,0,0,0,0,0,0,0,0,0,0,0,0,True
26,total,all ages,437903,225452,212451,130231,50902,79329,307672,174550,133122,0,0,0,True
26,rural,all ages,396512,203269,193243,121771,47002,74769,274741,156267,118474,0,0,0,True
26,urban,all ages,41391,22183,19208,8460,3900,4560,32931,18283,14648,0,0,0,True
27,total,all ages,999777,498065,501712,276030,104396,171634,723747,393669,330078,0,0,0,True
27,rural,all ages,937140,466050,471090,265552,99655,165897,671588,366395,305193,0,0,0,True
27,urban,all ages,62637,32015,30622,10478,4741,5737,52159,27274,24885,0,0,0,True
28,total,all ages,454768,217070,237698,96677,36515,60162,358091,180555,177536,0,0,0,True
28,rural,all ages,423338,200748,222590,91619,34265,57354,331719,166483,165236,0,0,0,True
28,urban,all ages,31430,16322,15108,5058,2250,2808,26372,14072,12300,0,0,0,True
29,total,all ages,521173,263692,257481,121458,50411,71047,399715,213281,186434,0,0,0,True
29,rural,all ages,476260,240254,236006,111279,45778,65501,364981,194476,170505,0,0,0,True
29,urban,all ages,44913,23438,21475,10179,4633,5546,34734,18805,15929,0,0,0,True
30,total,all ages,381956,192764,189192,94336,37165,57171,287620,155599,132021,0,0,0,True
30,rural,all ages,356827,179653,177174,90011,35166,54845,266816,144487,122329,0,0,0,True
30,urban,all ages,25129,13111,12018,4325,1999,2326,20804,11112,9692,0,0,0,True
31,total,all ages,580320,308754,271566,151742,64382,87360,428578,244372,184206,0,0,0,True
31,rural,all ages,478173,249736,228437,132099,54525,77574,346074,195211,150863,0,0,0,True
31,urban,all ages,102147,59018,43129,19643,9857,9786,82504,49161,33343,0,0,0,True
32,total,all ages,529855,276289,253566,167210,70672,96538,362645,205617,157028,0,0,0,True
32,rural,all ages,472690,246175,226515,156254,65564,90690,316436,180611,135825,0,0,0,True
32,urban,all ages,57165,30114,27051,10956,5108,5848,46209,25006,21203,0,0,0,True
33,total,all ages,814010,425039,388971,201368,82193,119175,612642,342846,269796,0,0,0,True
33,rural,all ages,612659,314295,298364,171947,67833,104114,440712,246462,194250,0,0,0,True
33,urban,all ages,201351,110744,90607,29421,14360,15061,171930,96384,75546,0,0,0,True
34,total,all ages,84121,46249,37872,23422,9552,13870,60699,36697,24002,0,0,0,True
34,rural,all ages,84121,46249,37872,23422,9552,13870,60699,36697,24002,0,0,0,True
34,urban,all ages,0,0,0,0,0,0,0,0,0,0,0,0,True
