district_code,area_type,age_group,total_persons,male_persons,female_persons,total_illiterate,male_illiterate,female_illiterate,total_literate,male_literate,female_literate,persons_check,illiterate_check,literate_check,is_valid
0,total,all ages,12541302,6640662,5900640,5474069,2375991,3098078,7067233,4264671,2802562,0,0,0,True
0,rural,all ages,9108060,4774477,4333583,4360110,1882728,2477382,4747950,2891749,1856201,0,0,0,True
0,urban,all ages,3433242,1866185,1567057,1113959,493263,620696,2319283,1372922,946361,0,0,0,True
1,total,all ages,870354,474190,396164,430700,191367,239333,439654,282823,156831,0,0,0,True
1,rural,all ages,765625,412038,353587,390627,173253,217374,374998,238785,136213,0,0,0,True
1,urban,all ages,104729,62152,42577,40073,18114,21959,64656,44038,20618,0,0,0,True
2,total,all ages,753745,398041,355704,418096,190300,227796,335649,207741,127908,0,0,0,True
2,rural,all ages,655833,343385,312448,377568,172744,204824,278265,170641,107624,0,0,0,True
2,urban,all ages,97912,54656,43256,40528,17556,22972,57384,37100,20284,0,0,0,True
3,total,all ages,133487,78971,54516,39717,16137,23580,93770,62834,30936,0,0,0,True
3,rural,all ages,87816,48411,39405,31027,12349,18678,56789,36062,20727,0,0,0,True
3,urban,all ages,45671,30560,15111,8690,3788,4902,36981,26772,10209,0,0,0,True
4,total,all ages,140802,77785,63017,54566,21484,33082,86236,56301,29935,0,0,0,True
4,rural,all ages,124464,67703,56761,50568,20029,30539,73896,47674,26222,0,0,0,True
4,urban,all ages,16338,10082,6256,3998,1455,2543,12340,8627,3713,0,0,0,True
5,total,all ages,476835,251899,224936,215111,88566,126545,261724,163333,98391,0,0,0,True
5,rural,all ages,438205,229774,208431,206664,85058,121606,231541,144716,86825,0,0,0,True
5,urban,all ages,38630,22125,16505,8447,3508,4939,30183,18617,11566,0,0,0,True
6,total,all ages,642415,345351,297064,278306,120882,157424,364109,224469,139640,0,0,0,True
6,rural,all ages,590101,310748,279353,268891,116635,152256,321210,194113,127097,0,0,0,True
6,urban,all ages,52314,34603,17711,9415,4247,5168,42899,30356,12543,0,0,0,True
7,total,all ages,616435,326109,290326,227231,97610,129621,389204,228499,160705,0,0,0,True
7,rural,all ages,526722,278126,248596,206358,88251,118107,320364,189875,130489,0,0,0,True
7,urban,all ages,89713,47983,41730,20873,9359,11514,68840,38624,30216,0,0,0,True
8,total,all ages,1008039,534733,473306,462890,197563,265327,545149,337170,207979,0,0,0,True
8,rural,all ages,825539,432399,393140,402346,171519,230827,423193,260880,162313,0,0,0,True
8,urban,all ages,182500,102334,80166,60544,26044,34500,121956,76290,45666,0,0,0,True
9,total,all ages,392232,207680,184552,206253,90622,115631,185979,117058,68921,0,0,0,True
