district_code,area_type,age_group,total_persons,male_persons,female_persons,total_illiterate,male_illiterate,female_illiterate,total_literate,male_literate,female_literate,persons_check,illiterate_check,literate_check,is_valid
0,total,all ages,32988134,16930315,16057819,14660065,6047796,8612269,18328069,10882519,7445550,0,0,0,True
0,rural,all ages,25055073,12776486,12278587,12411995,5093755,7318240,12643078,7682731,4960347,0,0,0,True
0,urban,all ages,7933061,4153829,3779232,2248070,954041,1294029,5684991,3199788,2485203,0,0,0,True
346,total,all ages,1322784,683575,639209,669308,278414,390894,653476,405161,248315,0,0,0,True
346,rural,all ages,1253114,646947,606167,645586,268495,377091,607528,378452,229076,0,0,0,True
346,urban,all ages,69670,36628,33042,23722,9919,13803,45948,26709,19239,0,0,0,True
347,total,all ages,1042886,533935,508951,532825,230033,302792,510061,303902,206159,0,0,0,True
347,rural,all ages,979932,500211,479721,513335,221466,291869,466597,278745,187852,0,0,0,True
347,urban,all ages,62954,33724,29230,19490,8567,10923,43464,25157,18307,0,0,0,True
348,total,all ages,716259,367222,349037,326010,128442,197568,390249,238780,151469,0,0,0,True
348,rural,all ages,575013,293595,281418,278866,109084,169782,296147,184511,111636,0,0,0,True
348,urban,all ages,141246,73627,67619,47144,19358,27786,94102,54269,39833,0,0,0,True
349,total,all ages,2445474,1258098,1187376,1191999,474362,717637,1253475,783736,469739,0,0,0,True
349,rural,all ages,2237450,1149608,1087842,1123937,444508,679429,1113513,705100,408413,0,0,0,True
349,urban,all ages,208024,108490,99534,68062,29854,38208,139962,78636,61326,0,0,0,True
350,total,all ages,1492073,775022,717051,698535,285185,413350,793538,489837,303701,0,0,0,True
350,rural,all ages,1233712,638136,595576,628820,255264,373556,604892,382872,222020,0,0,0,True
350,urban,all ages,258361,136886,121475,69715,29921,39794,188646,106965,81681,0,0,0,True
351,total,all ages,1313551,677927,635624,709032,301715,407317,604519,376212,228307,0,0,0,True
351,rural,all ages,1249132,643907,605225,689786,293197,396589,559346,350710,208636,0,0,0,True
351,urban,all ages,64419,34020,30399,19246,8518,10728,45173,25502,19671,0,0,0,True
352,total,all ages,1150567,589391,561176,667304,302088,365216,483263,287303,195960,0,0,0,True
352,rural,all ages,990901,505892,485009,606242,274783,331459,384659,231109,153550,0,0,0,True
352,urban,all ages,159666,83499,76167,61062,27305,33757,98604,56194,42410,0,0,0,True
353,total,all ages,900422,452661,447761,547541,245672,301869,352881,206989,145892,0,0,0,True
353,rural,all ages,832910,418251,414659,517357,231719,285638,315553,186532,129021,0,0,0,True
353,urban,all ages,67512,34410,33102,30184,13953,16231,37328,20457,16871,0,0,0,True
354,total,all ages,2684487,1405956,1278531,962283,391006,571277,1722204,1014950,707254,0,0,0,True
354,rural,all ages,1124093,581956,542137,474838,184812,290026,649255,397144,252111,0,0,0,True
354,urban,all ages,1560394,824000,736394,487445,206194,281251,1072949,617806,455143,0,0,0,True
355,total,all ages,2062330,1072807,989523,788810,313719,475091,1273520,759088,514432,0,0,0,True
355,rural,all ages,1078686,554954,523732,501508,197591,303917,577178,357363,219815,0,0,0,True
355,urban,all ages,983644,517853,465791,287302,116128,171174,696342,401725,294617,0,0,0,True
356,total,all ages,461790,232629,229161,202083,83061,119022,259707,149568,110139,0,0,0,True
356,rural,all ages,404379,203255,201124,186975,76402,110573,217404,126853,90551,0,0,0,True
356,urban,all ages,57411,29374,28037,15108,6659,8449,42303,22715,19588,0,0,0,True
357,total,all ages,2293919,1176902,1117017,786220,320376,465844,1507699,856526,651173,0,0,0,True
357,rural,all ages,1019328,514498,504830,471331,186606,284725,547997,327892,220105,0,0,0,True
357,urban,all ages,1274591,662404,612187,314889,133770,181119,959702,528634,431068,0,0,0,True
358,total,all ages,1939869,1006302,933567,915306,384596,530710,1024563,621706,402857,0,0,0,True
358,rural,all ages,1713866,887551,826315,846052,354982,491070,867814,532569,335245,0,0,0,True
358,urban,all ages,226003,118751,107252,69254,29614,39640,156749,89137,67612,0,0,0,True
359,total,all ages,726978,369666,357312,376296,159960,216336,350682,209706,140976,0,0,0,True
359,rural,all ages,675120,342566,332554,358962,152405,206557,316158,190161,125997,0,0,0,True
