district_code,area_type,age_group,total_persons,male_persons,female_persons,total_illiterate,male_illiterate,female_illiterate,total_literate,male_literate,female_literate,persons_check,illiterate_check,literate_check,is_valid
0,total,all ages,61095297,30966657,30128640,20447975,8458186,11989789,40647322,22508471,18138851,0,0,0,True
0,rural,all ages,37469335,18929354,18539981,14820159,6035917,8784242,22649176,12893437,9755739,0,0,0,True
0,urban,all ages,23625962,12037303,11588659,5627816,2422269,3205547,17998146,9615034,8383112,0,0,0,True
555,total,all ages,4779661,2423063,2356598,1727629,697515,1030114,3052032,1725548,1326484,0,0,0,True
555,rural,all ages,3568466,1811094,1757372,1433674,577292,856382,2134792,1233802,900990,0,0,0,True
555,urban,all ages,1211195,611969,599226,293955,120223,173732,917240,491746,425494,0,0,0,True
556,total,all ages,1889752,950111,939641,776340,308723,467617,1113412,641388,472024,0,0,0,True
556,rural,all ages,1291906,650267,641639,586994,233421,353573,704912,416846,288066,0,0,0,True
556,urban,all ages,597846,299844,298002,189346,75302,114044,408500,224542,183958,0,0,0,True
557,total,all ages,2177331,1111022,1066309,929063,380456,548607,1248268,730566,517702,0,0,0,True
557,rural,all ages,1675353,857562,817791,781221,319162,462059,894132,538400,355732,0,0,0,True
557,urban,all ages,501978,253460,248518,147842,61294,86548,354136,192166,161970,0,0,0,True
558,total,all ages,1703300,870665,832635,660627,273467,387160,1042673,597198,445475,0,0,0,True
558,rural,all ages,1277348,651250,626098,537637,220569,317068,739711,430681,309030,0,0,0,True
558,urban,all ages,425952,219415,206537,122990,52898,70092,302962,166517,136445,0,0,0,True
559,total,all ages,1928812,964511,964301,949043,387298,561745,979769,577213,402556,0,0,0,True
559,rural,all ages,1438464,717972,720492,779024,318385,460639,659440,399587,259853,0,0,0,True
559,urban,all ages,490348,246539,243809,170019,68913,101106,320329,177626,142703,0,0,0,True
560,total,all ages,1389920,699926,689994,580835,231141,349694,809085,468785,340300,0,0,0,True
560,rural,all ages,1156216,582958,573258,505215,200688,304527,651001,382270,268731,0,0,0,True
560,urban,all ages,233704,116968,116736,75620,30453,45167,158084,86515,71569,0,0,0,True
561,total,all ages,1064570,537147,527423,364393,139969,224424,700177,397178,302999,0,0,0,True
561,rural,all ages,685261,347585,337676,255588,96884,158704,429673,250701,178972,0,0,0,True
561,urban,all ages,379309,189562,189747,108805,43085,65720,270504,146477,124027,0,0,0,True
562,total,all ages,1847023,937206,909817,545359,225430,319929,1301664,711776,589888,0,0,0,True
562,rural,all ages,797484,409416,388068,295530,120245,175285,501954,289171,212783,0,0,0,True
562,urban,all ages,1049539,527790,521749,249829,105185,144644,799710,422605,377105,0,0,0,True
563,total,all ages,1437169,726256,710913,355263,144157,211106,1081906,582099,499807,0,0,0,True
563,rural,all ages,1018188,514910,503278,277059,111491,165568,741129,403419,337710,0,0,0,True
563,urban,all ages,418981,211346,207635,78204,32666,45538,340777,178680,162097,0,0,0,True
564,total,all ages,1597668,819128,778540,512225,215335,296890,1085443,603793,481650,0,0,0,True
564,rural,all ages,1242167,638450,603717,417066,172847,244219,825101,465603,359498,0,0,0,True
564,urban,all ages,355501,180678,174823,95159,42488,52671,260342,138190,122152,0,0,0,True
565,total,all ages,2452595,1236954,1215641,1030974,423514,607460,1421621,813440,608181,0,0,0,True
565,rural,all ages,1532356,774093,758263,723044,295993,427051,809312,478100,331212,0,0,0,True
565,urban,all ages,920239,462861,457378,307930,127521,180409,612309,335340,276969,0,0,0,True
566,total,all ages,1659456,840843,818613,572064,233655,338409,1087392,607188,480204,0,0,0,True
566,rural,all ages,1329923,675573,654350,495504,201288,294216,834419,474285,360134,0,0,0,True
566,urban,all ages,329533,165270,164263,76560,32367,44193,252973,132903,120070,0,0,0,True
567,total,all ages,1945497,986400,959097,636957,265763,371194,1308540,720637,587903,0,0,0,True
567,rural,all ages,1316487,668267,648220,477664,196579,281085,838823,471688,367135,0,0,0,True
567,urban,all ages,629010,318133,310877,159293,69184,90109,469717,248949,220768,0,0,0,True
568,total,all ages,1752753,877415,875338,489737,202477,287260,1263016,674938,588078,0,0,0,True
568,rural,all ages,1129026,565821,563205,358209,146231,211978,770817,419590,351227,0,0,0,True
568,urban,all ages,623727,311594,312133,131528,56246,75282,492199,255348,236851,0,0,0,True
569,total,all ages,1177361,562131,615230,250932,96427,154505,926429,465704,460725,0,0,0,True
569,rural,all ages,843300,398847,444453,198054,74538,123516,645246,324309,320937,0,0,0,True
569,urban,all ages,334061,163284,170777,52878,21889,30989,281183,141395,139788,0,0,0,True
570,total,all ages,1137961,566622,571339,319616,128365,191251,818345,438257,380088,0,0,0,True
