district_code,area_type,age_group,total_persons,male_persons,female_persons,total_illiterate,male_illiterate,female_illiterate,total_literate,male_literate,female_literate,persons_check,illiterate_check,literate_check,is_valid
0,total,all ages,33406061,16027412,17378649,5270237,2322509,2947728,28135824,13704903,14430921,0,0,0,True
0,rural,all ages,17471135,8408054,9063081,2921815,1275624,1646191,14549320,7132430,7416890,0,0,0,True
0,urban,all ages,15934926,7619358,8315568,2348422,1046885,1301537,13586504,6572473,7014031,0,0,0,True
588,total,all ages,1307375,628613,678762,269883,112137,157746,1037492,516476,521016,0,0,0,True
588,rural,all ages,798328,387716,410612,170296,70026,100270,628032,317690,310342,0,0,0,True
588,urban,all ages,509047,240897,268150,99587,42111,57476,409460,198786,210674,0,0,0,True
589,total,all ages,2523003,1181446,1341557,384569,168490,216079,2138434,1012956,1125478,0,0,0,True
589,rural,all ages,882017,425682,456335,145050,62652,82398,736967,363030,373937,0,0,0,True
589,urban,all ages,1640986,755764,885222,239519,105838,133681,1401467,649926,751541,0,0,0,True
590,total,all ages,817420,401684,415736,171835,73548,98287,645585,328136,317449,0,0,0,True
590,rural,all ages,785840,386283,399557,165770,70916,94854,620070,315367,304703,0,0,0,True
590,urban,all ages,31580,15401,16179,6065,2632,3433,25515,12769,12746,0,0,0,True
591,total,all ages,3086293,1470942,1615351,470850,204003,266847,2615443,1266939,1348504,0,0,0,True
591,rural,all ages,1013721,484784,528937,164343,70388,93955,849378,414396,434982,0,0,0,True
591,urban,all ages,2072572,986158,1086414,306507,133615,172892,1766065,852543,913522,0,0,0,True
592,total,all ages,4112920,1960328,2152592,801605,362924,438681,3311315,1597404,1713911,0,0,0,True
592,rural,all ages,2295709,1095308,1200401,457201,206577,250624,1838508,888731,949777,0,0,0,True
592,urban,all ages,1817211,865020,952191,344404,156347,188057,1472807,708673,764134,0,0,0,True
593,total,all ages,2809934,1359478,1450456,570442,236878,333564,2239492,1122600,1116892,0,0,0,True
593,rural,all ages,2133124,1031466,1101658,454229,187611,266618,1678895,843855,835040,0,0,0,True
593,urban,all ages,676810,328012,348798,116213,49267,66946,560597,278745,281852,0,0,0,True
594,total,all ages,3121200,1480763,1640437,442652,198502,244150,2678548,1282261,1396287,0,0,0,True
594,rural,all ages,1024794,488303,536491,159323,69683,89640,865471,418620,446851,0,0,0,True
594,urban,all ages,2096406,992460,1103946,283329,128819,154510,1813077,863641,949436,0,0,0,True
595,total,all ages,3282388,1619557,1662831,426712,193834,232878,2855676,1425723,1429953,0,0,0,True
595,rural,all ages,1048025,518510,529515,139617,62540,77077,908408,455970,452438,0,0,0,True
595,urban,all ages,2234363,1101047,1133316,287095,131294,155801,1947268,969753,977515,0,0,0,True
596,total,all ages,1108974,552808,556166,185964,80927,105037,923010,471881,451129,0,0,0,True
596,rural,all ages,1056929,527245,529684,178718,77603,101115,878211,449642,428569,0,0,0,True
596,urban,all ages,52045,25563,26482,7246,3324,3922,44799,22239,22560,0,0,0,True
597,total,all ages,1974551,968289,1006262,224753,106697,118056,1749798,861592,888206,0,0,0,True
597,rural,all ages,1409158,692673,716485,162383,77222,85161,1246775,615451,631324,0,0,0,True
597,urban,all ages,565393,275616,289777,62370,29475,32895,503023,246141,256882,0,0,0,True
598,total,all ages,2127789,1013142,1114647,274992,122590,152402,1852797,890552,962245,0,0,0,True
598,rural,all ages,979643,464713,514930,127173,57300,69873,852470,407413,445057,0,0,0,True
598,urban,all ages,1148146,548429,599717,147819,65290,82529,1000327,483139,517188,0,0,0,True
599,total,all ages,1197412,561716,635696,134859,62535,72324,1062553,499181,563372,0,0,0,True
599,rural,all ages,1065799,499820,565979,120448,55798,64650,945351,444022,501329,0,0,0,True
599,urban,all ages,131613,61896,69717,14411,6737,7674,117202,55159,62043,0,0,0,True
600,total,all ages,2635375,1246968,1388407,395102,172623,222479,2240273,1074345,1165928,0,0,0,True
600,rural,all ages,1448217,680687,767530,214855,93300,121555,1233362,587387,645975,0,0,0,True
600,urban,all ages,1187158,566281,620877,180247,79323,100924,1006911,486958,519953,0,0,0,True
601,total,all ages,3301427,1581678,1719749,516019,226821,289198,2785408,1354857,1430551,0,0,0,True
601,rural,all ages,1529831,724864,804967,262409,114008,148401,1267422,610856,656566,0,0,0,True
601,urban,all ages,1771596,856814,914782,253610,112813,140797,1517986,744001,773985,0,0,0,True
