district_code,area_type,age_group,total_persons,male_persons,female_persons,total_illiterate,male_illiterate,female_illiterate,total_literate,male_literate,female_literate,persons_check,illiterate_check,literate_check,is_valid
0,total,all ages,72626809,37612306,35014503,29775640,12437978,17337662,42851169,25174328,17676841,0,0,0,True
0,rural,all ages,52557404,27149388,25408016,24275418,10094406,14181012,28281986,17054982,11227004,0,0,0,True
0,urban,all ages,20069405,10462918,9606487,5500222,2343572,3156650,14569183,8119346,6449837,0,0,0,True
418,total,all ages,687861,361784,326077,359836,153583,206253,328025,208201,119824,0,0,0,True
418,rural,all ages,580509,305360,275149,319456,136967,182489,261053,168393,92660,0,0,0,True
418,urban,all ages,107352,56424,50928,40380,16616,23764,66972,39808,27164,0,0,0,True
419,total,all ages,1965970,1068417,897553,786285,320765,465520,1179685,747652,432033,0,0,0,True
419,rural,all ages,1495508,815218,680290,629822,256470,373352,865686,558748,306938,0,0,0,True
419,urban,all ages,470462,253199,217263,156463,64295,92168,313999,188904,125095,0,0,0,True
420,total,all ages,1703005,926843,776162,608088,250330,357758,1094917,676513,418404,0,0,0,True
420,rural,all ages,1270083,694756,575327,470048,192864,277184,800035,501892,298143,0,0,0,True
420,urban,all ages,432922,232087,200835,138040,57466,80574,294882,174621,120261,0,0,0,True
421,total,all ages,2032036,1090327,941709,674826,287213,387613,1357210,803114,554096,0,0,0,True
421,rural,all ages,758244,409349,348895,338883,142332,196551,419361,267017,152344,0,0,0,True
421,urban,all ages,1273792,680978,592814,335943,144881,191062,937849,536097,401752,0,0,0,True
422,total,all ages,786754,420157,366597,295309,116342,178967,491445,303815,187630,0,0,0,True
422,rural,all ages,604772,323966,280806,239205,93065,146140,365567,230901,134666,0,0,0,True
422,urban,all ages,181982,96191,85791,56104,23277,32827,125878,72914,52964,0,0,0,True
423,total,all ages,1726050,919795,806255,825204,346553,478651,900846,573242,327604,0,0,0,True
423,rural,all ages,1430627,763554,667073,726987,304849,422138,703640,458705,244935,0,0,0,True
423,urban,all ages,295423,156241,139182,98217,41704,56513,197206,114537,82669,0,0,0,True
424,total,all ages,1445166,760355,684811,697226,301002,396224,747940,459353,288587,0,0,0,True
424,rural,all ages,1195293,629477,565816,608300,262726,345574,586993,366751,220242,0,0,0,True
424,urban,all ages,249873,130878,118995,88926,38276,50650,160947,92602,68345,0,0,0,True
425,total,all ages,1762375,936121,826254,819342,364111,455231,943033,572010,371023,0,0,0,True
425,rural,all ages,1363359,725273,638086,691801,308336,383465,671558,416937,254621,0,0,0,True
425,urban,all ages,399016,210848,188168,127541,55775,71766,271475,155073,116402,0,0,0,True
426,total,all ages,1016520,533480,483040,463961,201340,262621,552559,332140,220419,0,0,0,True
426,rural,all ages,891185,467473,423712,425719,184900,240819,465466,282573,182893,0,0,0,True
426,urban,all ages,125335,66007,59328,38242,16440,21802,87093,49567,37526,0,0,0,True
427,total,all ages,2378458,1256257,1122201,832739,347650,485089,1545719,908607,637112,0,0,0,True
427,rural,all ages,1669662,884133,785529,657680,273778,383902,1011982,610355,401627,0,0,0,True
427,urban,all ages,708796,372124,336672,175059,73872,101187,533737,298252,235485,0,0,0,True
428,total,all ages,1264219,661873,602346,516504,216136,300368,747715,445737,301978,0,0,0,True
428,rural,all ages,1013668,530471,483197,449528,187738,261790,564140,342733,221407,0,0,0,True
428,urban,all ages,250551,131402,119149,66976,28398,38578,183575,103004,80571,0,0,0,True
429,total,all ages,2228935,1157495,1071440,857154,356444,500710,1371781,801051,570730,0,0,0,True
429,rural,all ages,1754517,907904,846613,725273,300624,424649,1029244,607280,421964,0,0,0,True
429,urban,all ages,474418,249591,224827,131881,55820,76061,342537,193771,148766,0,0,0,True
430,total,all ages,2365106,1225100,1140006,923349,379528,543821,1441757,845572,596185,0,0,0,True
430,rural,all ages,1969321,1017839,951482,812404,333520,478884,1156917,684319,472598,0,0,0,True
430,urban,all ages,395785,207261,188524,110945,46008,64937,284840,161253,123587,0,0,0,True
431,total,all ages,644758,330674,314084,288086,119767,168319,356672,210907,145765,0,0,0,True
431,rural,all ages,534214,273064,261150,254572,106215,148357,279642,166849,112793,0,0,0,True
431,urban,all ages,110544,57610,52934,33514,13552,19962,77030,44058,32972,0,0,0,True
432,total,all ages,826067,422653,403414,317233,114764,202469,508834,307889,200945,0,0,0,True
432,rural,all ages,580837,295013,285824,250191,88744,161447,330646,206269,124377,0,0,0,True
432,urban,all ages,245230,127640,117590,67042,26020,41022,178188,101620,76568,0,0,0,True
433,total,all ages,1340411,682851,657560,505820,179953,325867,834591,502898,331693,0,0,0,True
433,rural,all ages,1062807,540987,521820,433073,151930,281143,629734,389057,240677,0,0,0,True
433,urban,all ages,277604,141864,135740,72747,28023,44724,204857,113841,91016,0,0,0,True
434,total,all ages,1455069,738241,716828,629189,253151,376038,825880,485090,340790,0,0,0,True
434,rural,all ages,1020038,516468,503570,512934,205414,307520,507104,311054,196050,0,0,0,True
434,urban,all ages,435031,221773,213258,116255,47737,68518,318776,174036,144740,0,0,0,True
435,total,all ages,1986864,1016289,970575,745874,285472,460402,1240990,730817,510173,0,0,0,True
435,rural,all ages,1207651,616353,591298,536268,199362,336906,671383,416991,254392,0,0,0,True
435,urban,all ages,779213,399936,379277,209606,86110,123496,569607,313826,255781,0,0,0,True
436,total,all ages,1512681,780520,732161,618069,237011,381058,894612,543509,351103,0,0,0,True
436,rural,all ages,1219133,629273,589860,528759,201903,326856,690374,427370,263004,0,0,0,True
436,urban,all ages,293548,151247,142301,89310,35108,54202,204238,116139,88099,0,0,0,True
437,total,all ages,1563715,805359,758356,638346,254643,383703,925369,550716,374653,0,0,0,True
437,rural,all ages,1111956,571720,540236,507662,201761,305901,604294,369959,234335,0,0,0,True
437,urban,all ages,451759,233639,218120,130684,52882,77802,321075,180757,140318,0,0,0,True
438,total,all ages,2185793,1112725,1073068,1108455,474246,634209,1077338,638479,438859,0,0,0,True
438,rural,all ages,1772572,895113,877459,976099,417282,558817,796473,477831,318642,0,0,0,True
438,urban,all ages,413221,217612,195609,132356,56964,75392,280865,160648,120217,0,0,0,True
439,total,all ages,3276697,1699627,1577070,967567,409996,557571,2309130,1289631,1019499,0,0,0,True
439,rural,all ages,848988,436755,412233,349851,136856,212995,499137,299899,199238,0,0,0,True
439,urban,all ages,2427709,1262872,1164837,617716,273140,344576,1809993,989732,820261,0,0,0,True
440,total,all ages,1873046,953121,919925,886812,377693,509119,986234,575428,410806,0,0,0,True
440,rural,all ages,1574190,799396,774794,801401,341625,459776,772789,457771,315018,0,0,0,True
440,urban,all ages,298856,153725,145131,85411,36068,49343,213445,117657,95788,0,0,0,True
441,total,all ages,1385881,699340,686541,835955,385698,450257,549926,313642,236284,0,0,0,True
441,rural,all ages,1181812,594907,586905,768660,356645,412015,413152,238262,174890,0,0,0,True
441,urban,all ages,204069,104433,99636,67295,29053,38242,136774,75380,61394,0,0,0,True
442,total,all ages,1545814,790212,755602,741569,301415,440154,804245,488797,315448,0,0,0,True
442,rural,all ages,1269357,648407,620950,649044,263813,385231,620313,384594,235719,0,0,0,True
442,urban,all ages,276457,141805,134652,92525,37602,54923,183932,104203,79729,0,0,0,True
443,total,all ages,1458875,769568,689307,595957,257224,338733,862918,512344,350574,0,0,0,True
443,rural,all ages,1119257,591962,527295,495064,212780,282284,624193,379182,245011,0,0,0,True
443,urban,all ages,339618,177606,162012,100893,44444,56449,238725,133162,105563,0,0,0,True
444,total,all ages,2371061,1236130,1134931,710371,315816,394555,1660690,920314,740376,0,0,0,True
444,rural,all ages,454010,238025,215985,199200,84881,114319,254810,153144,101666,0,0,0,True
444,urban,all ages,1917051,998105,918946,511171,230935,280236,1405880,767170,638710,0,0,0,True
445,total,all ages,1311332,683743,627589,530970,214535,316435,780362,469208,311154,0,0,0,True
445,rural,all ages,1062870,554636,508234,459024,183978,275046,603846,370658,233188,0,0,0,True
445,urban,all ages,248462,129107,119355,71946,30557,41389,176516,98550,77966,0,0,0,True
446,total,all ages,1331597,700358,631239,511377,221265,290112,820220,479093,341127,0,0,0,True
446,rural,all ages,1028172,539960,488212,420223,181128,239095,607949,358832,249117,0,0,0,True
446,urban,all ages,303425,160398,143027,91154,40137,51017,212271,120261,92010,0,0,0,True
447,total,all ages,1575362,799236,776126,635593,269453,366140,939769,529783,409986,0,0,0,True
447,rural,all ages,1266211,640358,625853,566113,240183,325930,700098,400175,299923,0,0,0,True
447,urban,all ages,309151,158878,150273,69480,29270,40210,239671,129608,110063,0,0,0,True
448,total,all ages,570465,294838,275627,217915,91031,126884,352550,203807,148743,0,0,0,True
448,rural,all ages,451101,233312,217789,189872,79272,110600,261229,154040,107189,0,0,0,True
448,urban,all ages,119364,61526,57838,28043,11759,16284,91321,49767,41554,0,0,0,True
449,total,all ages,1241350,648725,592625,430706,179526,251180,810644,469199,341445,0,0,0,True
449,rural,all ages,851364,445062,406302,341153,141973,199180,510211,303089,207122,0,0,0,True
449,urban,all ages,389986,203663,186323,89553,37553,52000,300433,166110,134323,0,0,0,True
450,total,all ages,1292042,662013,630029,501269,201430,299839,790773,460583,330190,0,0,0,True
450,rural,all ages,1028499,525188,503311,435547,173348,262199,592952,351840,241112,0,0,0,True
450,urban,all ages,263543,136825,126718,65722,28082,37640,197821,108743,89078,0,0,0,True
451,total,all ages,2463289,1277278,1186011,706821,296971,409850,1756468,980307,776161,0,0,0,True
451,rural,all ages,1023255,527031,496224,385431,155686,229745,637824,371345,266479,0,0,0,True
451,urban,all ages,1440034,750247,689787,321390,141285,180105,1118644,608962,509682,0,0,0,True
452,total,all ages,1091854,568810,523044,373069,155319,217750,718785,413491,305294,0,0,0,True
452,rural,all ages,888314,462699,425615,326227,134965,191262,562087,327734,234353,0,0,0,True
452,urban,all ages,203540,106111,97429,46842,20354,26488,156698,85757,70941,0,0,0,True
453,total,all ages,704524,351913,352611,325810,129154,196656,378714,222759,155955,0,0,0,True
453,rural,all ages,672206,335393,336813,317364,125861,191503,354842,209532,145310,0,0,0,True
453,urban,all ages,32318,16520,15798,8446,3293,5153,23872,13227,10645,0,0,0,True
454,total,all ages,1054905,525272,529633,449943,177239,272704,604962,348033,256929,0,0,0,True
454,rural,all ages,924716,459151,465565,420991,165398,255593,503725,293753,209972,0,0,0,True
454,urban,all ages,130189,66121,64068,28952,11841,17111,101237,54280,46957,0,0,0,True
455,total,all ages,2090922,1064468,1026454,796724,333174,463550,1294198,731294,562904,0,0,0,True
455,rural,all ages,1585739,806199,779540,677901,283766,394135,907838,522433,385405,0,0,0,True
455,urban,all ages,505183,258269,246914,118823,49408,69415,386360,208861,177499,0,0,0,True
456,total,all ages,1379131,695879,683252,514937,210538,304399,864194,485341,378853,0,0,0,True
456,rural,all ages,1215241,612314,602927,480873,196209,284664,734368,416105,318263,0,0,0,True
456,urban,all ages,163890,83565,80325,34064,14329,19735,129826,69236,60590,0,0,0,True
457,total,all ages,1701698,842178,859520,554075,215710,338365,1147623,626468,521155,0,0,0,True
457,rural,all ages,1456882,719794,737088,496664,192705,303959,960218,527089,433129,0,0,0,True
457,urban,all ages,244816,122384,122432,57411,23005,34406,187405,99379,88026,0,0,0,True
458,total,all ages,1241519,649362,592157,587539,248825,338714,653980,400537,253443,0,0,0,True
458,rural,all ages,928844,486127,442717,481674,204634,277040,447170,281493,165677,0,0,0,True
458,urban,all ages,312675,163235,149440,105865,44191,61674,206810,119044,87766,0,0,0,True
459,total,all ages,845071,443837,401234,375962,153533,222429,469109,290304,178805,0,0,0,True
459,rural,all ages,691387,363411,327976,325073,132685,192388,366314,230726,135588,0,0,0,True
459,urban,all ages,153684,80426,73258,50889,20848,30041,102795,59578,43217,0,0,0,True
460,total,all ages,1066063,540021,526042,461869,191260,270609,604194,348761,255433,0,0,0,True
460,rural,all ages,846463,426583,419880,403762,167552,236210,442701,259031,183670,0,0,0,True
460,urban,all ages,219600,113438,106162,58107,23708,34399,161493,89730,71763,0,0,0,True
461,total,all ages,749237,379114,370123,312642,124994,187648,436595,254120,182475,0,0,0,True
461,rural,all ages,543996,272030,271966,253103,101377,151726,290893,170653,120240,0,0,0,True
461,urban,all ages,205241,107084,98157,59539,23617,35922,145702,83467,62235,0,0,0,True
462,total,all ages,1127033,575912,551121,526248,222882,303366,600785,353030,247755,0,0,0,True
462,rural,all ages,1033912,527378,506534,496157,210229,285928,537755,317149,220606,0,0,0,True
462,urban,all ages,93121,48534,44587,30091,12653,17438,63030,35881,27149,0,0,0,True
463,total,all ages,1178273,613637,564636,593219,253714,339505,585054,359923,225131,0,0,0,True
463,rural,all ages,951487,493324,458163,514423,220809,293614,437064,272515,164549,0,0,0,True
463,urban,all ages,226786,120313,106473,78796,32905,45891,147990,87408,60582,0,0,0,True
464,total,all ages,1025048,515023,510025,672967,300441,372526,352081,214582,137499,0,0,0,True
464,rural,all ages,933065,467468,465597,646834,289487,357347,286231,177981,108250,0,0,0,True
464,urban,all ages,91983,47555,44428,26133,10954,15179,65850,36601,29249,0,0,0,True
465,total,all ages,728999,362542,366457,519245,241637,277608,209754,120905,88849,0,0,0,True
465,rural,all ages,671925,333593,338332,501113,234019,267094,170812,99574,71238,0,0,0,True
465,urban,all ages,57074,28949,28125,18132,7618,10514,38942,21331,17611,0,0,0,True
466,total,all ages,1310061,674329,635732,578446,242070,336376,731615,432259,299356,0,0,0,True
466,rural,all ages,1050625,541183,509442,509636,212280,297356,540989,328903,212086,0,0,0,True
466,urban,all ages,259436,133146,126290,68810,29790,39020,190626,103356,87270,0,0,0,True
467,total,all ages,757847,388504,369343,349168,155431,193737,408679,233073,175606,0,0,0,True
467,rural,all ages,497560,254978,242582,268376,119482,148894,229184,135496,93688,0,0,0,True
467,urban,all ages,260287,133526,126761,80792,35949,44843,179495,97577,81918,0,0,0,True
