district_code,area_type,age_group,total_persons,male_persons,female_persons,total_illiterate,male_illiterate,female_illiterate,total_literate,male_literate,female_literate,persons_check,illiterate_check,literate_check,is_valid
0,total,all ages,112374333,58243056,54131277,30820043,12985472,17834571,81554290,45257584,36296706,0,0,0,True
0,rural,all ages,61556074,31539034,30017040,20073313,8147559,11925754,41482761,23391475,18091286,0,0,0,True
0,urban,all ages,50818259,26704022,24114237,10746730,4837913,5908817,40071529,21866109,18205420,0,0,0,True
497,total,all ages,1648295,833170,815125,741786,321071,420715,906509,512099,394410,0,0,0,True
497,rural,all ages,1372821,687671,685150,676561,292357,384204,696260,395314,300946,0,0,0,True
497,urban,all ages,275474,145499,129975,65225,28714,36511,210249,116785,93464,0,0,0,True
498,total,all ages,2050862,1054031,996831,756946,330643,426303,1293916,723388,570528,0,0,0,True
498,rural,all ages,1479826,758916,720910,622386,269438,352948,857440,489478,367962,0,0,0,True
498,urban,all ages,571036,295115,275921,134560,61205,73355,436476,233910,202566,0,0,0,True
499,total,all ages,4229917,2197365,2032552,1338035,568142,769893,2891882,1629223,1262659,0,0,0,True
499,rural,all ages,2887206,1500514,1386692,1009644,420264,589380,1877562,1080250,797312,0,0,0,True
499,urban,all ages,1342711,696851,645860,328391,147878,180513,1014320,548973,465347,0,0,0,True
500,total,all ages,2586258,1337560,1248698,706384,288668,417716,1879874,1048892,830982,0,0,0,True
500,rural,all ages,2037398,1055242,982156,586640,236671,349969,1450758,818571,632187,0,0,0,True
500,urban,all ages,548860,282318,266542,119744,51997,67747,429116,230321,198795,0,0,0,True
501,total,all ages,1813906,932334,881572,402625,173357,229268,1411281,758977,652304,0,0,0,True
501,rural,all ages,1094165,563933,530232,264810,110789,154021,829355,453144,376211,0,0,0,True
501,urban,all ages,719741,368401,351340,137815,62568,75247,581926,305833,276093,0,0,0,True
502,total,all ages,1197160,620302,576858,327243,132599,194644,869917,487703,382214,0,0,0,True
502,rural,all ages,985747,511727,474020,278991,111243,167748,706756,400484,306272,0,0,0,True
502,urban,all ages,211413,108575,102838,48252,21356,26896,163161,87219,75942,0,0,0,True
503,total,all ages,2888445,1480768,1407677,636570,273664,362906,2251875,1207104,1044771,0,0,0,True
503,rural,all ages,1851158,950633,900525,450463,188968,261495,1400695,761665,639030,0,0,0,True
503,urban,all ages,1037287,530135,507152,186107,84696,101411,851180,445439,405741,0,0,0,True
504,total,all ages,1300774,668385,632389,281316,115768,165548,1019458,552617,466841,0,0,0,True
504,rural,all ages,877474,451874,425600,212392,86676,125716,665082,365198,299884,0,0,0,True
504,urban,all ages,423300,216511,206789,68924,29092,39832,354376,187419,166957,0,0,0,True
505,total,all ages,4653570,2384975,2268595,979762,425755,554007,3673808,1959220,1714588,0,0,0,True
505,rural,all ages,1474811,758357,716454,401832,168530,233302,1072979,589827,483152,0,0,0,True
505,urban,all ages,3178759,1626618,1552141,577930,257225,320705,2600829,1369393,1231436,0,0,0,True
506,total,all ages,1200334,605520,594814,300474,116811,183663,899860,488709,411151,0,0,0,True
506,rural,all ages,966503,487484,479019,258175,99042,159133,708328,388442,319886,0,0,0,True
506,urban,all ages,233831,118036,115795,42299,17769,24530,191532,100267,91265,0,0,0,True
507,total,all ages,1322507,661554,660953,318264,118717,199547,1004243,542837,461406,0,0,0,True
507,rural,all ages,1096577,547934,548643,278156,102444,175712,818421,445490,372931,0,0,0,True
507,urban,all ages,225930,113620,112310,40108,16273,23835,185822,97347,88475,0,0,0,True
508,total,all ages,1072942,541328,531614,364577,146218,218359,708365,395110,313255,0,0,0,True
508,rural,all ages,954909,481290,473619,341138,136697,204441,613771,344593,269178,0,0,0,True
508,urban,all ages,118033,60038,57995,23439,9521,13918,94594,50517,44077,0,0,0,True
509,total,all ages,2204307,1123834,1080473,625692,251269,374423,1578615,872565,706050,0,0,0,True
509,rural,all ages,1428929,726106,702823,466535,184493,282042,962394,541613,420781,0,0,0,True
509,urban,all ages,775378,397728,377650,159157,66776,92381,616221,330952,285269,0,0,0,True
510,total,all ages,2772348,1419965,1352383,749774,303985,445789,2022574,1115980,906594,0,0,0,True
510,rural,all ages,2174195,1115148,1059047,638160,255467,382693,1536035,859681,676354,0,0,0,True
510,urban,all ages,598153,304817,293336,111614,48518,63096,486539,256299,230240,0,0,0,True
511,total,all ages,3361292,1730075,1631217,1171867,474853,697014,2189425,1255222,934203,0,0,0,True
511,rural,all ages,2447394,1258160,1189234,918077,366110,551967,1529317,892050,637267,0,0,0,True
511,urban,all ages,913898,471915,441983,253790,108743,145047,660108,363172,296936,0,0,0,True
512,total,all ages,1177345,606294,571051,386602,155743,230859,790743,450551,340192,0,0,0,True
512,rural,all ages,998612,514430,484182,340460,135733,204727,658152,378697,279455,0,0,0,True
512,urban,all ages,178733,91864,86869,46142,20010,26132,132591,71854,60737,0,0,0,True
513,total,all ages,1836086,942870,893216,678272,276579,401693,1157814,666291,491523,0,0,0,True
513,rural,all ages,1266280,651886,614394,502832,201190,301642,763448,450696,312752,0,0,0,True
513,urban,all ages,569806,290984,278822,175440,75389,100051,394366,215595,178771,0,0,0,True
514,total,all ages,1959046,1011473,947573,763523,312045,451478,1195523,699428,496095,0,0,0,True
514,rural,all ages,1581617,817279,764338,650103,262609,387494,931514,554670,376844,0,0,0,True
514,urban,all ages,377429,194194,183235,113420,49436,63984,264009,144758,119251,0,0,0,True
515,total,all ages,3701282,1924469,1776813,1197445,493533,703912,2503837,1430936,1072901,0,0,0,True
