district_code,area_type,age_group,total_persons,male_persons,female_persons,total_illiterate,male_illiterate,female_illiterate,total_literate,male_literate,female_literate,persons_check,illiterate_check,literate_check,is_valid
0,total,all ages,2855794,1438586,1417208,947318,398728,548590,1908476,1039858,868618,0,0,0,True
0,rural,all ages,2021640,1026884,994756,738781,316750,422031,1282859,710134,572725,0,0,0,True
0,urban,all ages,834154,411702,422452,208537,81978,126559,625617,329724,295893,0,0,0,True
272,total,all ages,479148,247323,231825,214671,99311,115360,264477,148012,116465,0,0,0,True
272,rural,all ages,471672,243603,228069,212694,98474,114220,258978,145129,113849,0,0,0,True
272,urban,all ages,7476,3720,3756,1977,837,1140,5499,2883,2616,0,0,0,True
273,total,all ages,140651,72371,68280,55645,24968,30677,85006,47403,37603,0,0,0,True
273,rural,all ages,121288,62534,58754,50786,22805,27981,70502,39729,30773,0,0,0,True
273,urban,all ages,19363,9837,9526,4859,2163,2696,14504,7674,6830,0,0,0,True
274,total,all ages,274143,138820,135323,78208,34807,43401,195935,104013,91922,0,0,0,True
274,rural,all ages,255786,129659,126127,74268,33155,41113,181518,96504,85014,0,0,0,True
274,urban,all ages,18357,9161,9196,3940,1652,2288,14417,7509,6908,0,0,0,True
275,total,all ages,237399,118782,118617,81066,31469,49597,156333,87313,69020,0,0,0,True
275,rural,all ages,149894,75171,74723,54336,21140,33196,95558,54031,41527,0,0,0,True
275,urban,all ages,87505,43611,43894,26730,10329,16401,60775,33282,27493,0,0,0,True
276,total,all ages,422168,210845,211323,152864,58228,94636,269304,152617,116687,0,0,0,True
276,rural,all ages,270835,135470,135365,106465,40756,65709,164370,94714,69656,0,0,0,True
276,urban,all ages,151333,75375,75958,46399,17472,28927,104934,57903,47031,0,0,0,True
277,total,all ages,517992,255054,262938,125366,49069,76297,392626,205985,186641,0,0,0,True
277,rural,all ages,195113,96948,98165,55722,21979,33743,139391,74969,64422,0,0,0,True
277,urban,all ages,322879,158106,164773,69644,27090,42554,253235,131016,122219,0,0,0,True
278,total,all ages,456113,226094,230019,131449,52780,78669,324664,173314,151350,0,0,0,True
278,rural,all ages,272906,136789,136117,89025,35852,53173,183881,100937,82944,0,0,0,True
278,urban,all ages,183207,89305,93902,42424,16928,25496,140783,72377,68406,0,0,0,True
279,total,all ages,183998,94718,89280,54169,24570,29599,129829,70148,59681,0,0,0,True
279,rural,all ages,156811,80801,76010,48167,21823,26344,108644,58978,49666,0,0,0,True
279,urban,all ages,27187,13917,13270,6002,2747,3255,21185,11170,10015,0,0,0,True
280,total,all ages,144182,74579,69603,53880,23526,30354,90302,51053,39249,0,0,0,True
280,rural,all ages,127335,65909,61426,47318,20766,26552,80017,45143,34874,0,0,0,True
280,urban,all ages,16847,8670,8177,6562,2760,3802,10285,5910,4375,0,0,0,True
