district_code,area_type,age_group,total_persons,male_persons,female_persons,total_illiterate,male_illiterate,female_illiterate,total_literate,male_literate,female_literate,persons_check,illiterate_check,literate_check,is_valid
0,total,all ages,2966889,1491832,1475057,1181884,577953,603931,1785005,913879,871126,0,0,0,True
0,rural,all ages,2371439,1194260,1177179,1056285,518624,537661,1315154,675636,639518,0,0,0,True
0,urban,all ages,595450,297572,297878,125599,59329,66270,469851,238243,231608,0,0,0,True
293,total,all ages,643291,324159,319132,284589,130721,153868,358702,193438,165264,0,0,0,True
293,rural,all ages,568433,286923,281510,269985,123903,146082,298448,163020,135428,0,0,0,True
293,urban,all ages,74858,37236,37622,14604,6818,7786,60254,30418,29836,0,0,0,True
294,total,all ages,317917,161223,156694,125770,58710,67060,192147,102513,89634,0,0,0,True
294,rural,all ages,273725,138763,134962,115832,54058,61774,157893,84705,73188,0,0,0,True
294,urban,all ages,44192,22460,21732,9938,4652,5286,34254,17808,16446,0,0,0,True
295,total,all ages,142334,73170,69164,60272,28167,32105,82062,45003,37059,0,0,0,True
295,rural,all ages,129203,66470,62733,56928,26590,30338,72275,39880,32395,0,0,0,True
295,urban,all ages,13131,6700,6431,3344,1577,1767,9787,5123,4664,0,0,0,True
296,total,all ages,383461,193715,189746,152783,76408,76375,230678,117307,113371,0,0,0,True
296,rural,all ages,340356,172380,167976,139783,69887,69896,200573,102493,98080,0,0,0,True
296,urban,all ages,43105,21335,21770,13000,6521,6479,30105,14814,15291,0,0,0,True
297,total,all ages,258840,132531,126309,102981,51554,51427,155859,80977,74882,0,0,0,True
297,rural,all ages,233587,118705,114882,95770,48023,47747,137817,70682,67135,0,0,0,True
297,urban,all ages,25253,13826,11427,7211,3531,3680,18042,10295,7747,0,0,0,True
298,total,all ages,825922,410749,415173,247892,123479,124413,578030,287270,290760,0,0,0,True
298,rural,all ages,459441,228409,231032,176433,90164,86269,283008,138245,144763,0,0,0,True
298,urban,all ages,366481,182340,184141,71459,33315,38144,295022,149025,145997,0,0,0,True
299,total,all ages,395124,196285,198839,207597,108914,98683,187527,87371,100156,0,0,0,True
299,rural,all ages,366694,182610,184084,201554,105999,95555,165140,76611,88529,0,0,0,True
299,urban,all ages,28430,13675,14755,6043,2915,3128,22387,10760,11627,0,0,0,True
