district_code,area_type,age_group,total_persons,male_persons,female_persons,total_illiterate,male_illiterate,female_illiterate,total_literate,male_literate,female_literate,persons_check,illiterate_check,literate_check,is_valid
0,total,all ages,1097206,555339,541867,249031,116810,132221,848175,438529,409646,0,0,0,True
0,rural,all ages,525435,269135,256300,162101,73735,88366,363334,195400,167934,0,0,0,True
0,urban,all ages,571771,286204,285567,86930,43075,43855,484841,243129,241712,0,0,0,True
281,total,all ages,86364,44828,41536,26173,11851,14322,60191,32977,27214,0,0,0,True
281,rural,all ages,71465,37135,34330,23291,10403,12888,48174,26732,21442,0,0,0,True
281,urban,all ages,14899,7693,7206,2882,1448,1434,12017,6245,5772,0,0,0,True
282,total,all ages,83955,42918,41037,18060,8771,9289,65895,34147,31748,0,0,0,True
282,rural,all ages,37077,19097,17980,9807,4710,5097,27270,14387,12883,0,0,0,True
282,urban,all ages,46878,23821,23057,8253,4061,4192,38625,19760,18865,0,0,0,True
283,total,all ages,400309,199270,201039,59714,29723,29991,340595,169547,171048,0,0,0,True
283,rural,all ages,85555,43780,41775,15780,7866,7914,69775,35914,33861,0,0,0,True
283,urban,all ages,314754,155490,159264,43934,21857,22077,270820,133633,137187,0,0,0,True
284,total,all ages,125745,63388,62357,24943,11948,12995,100802,51440,49362,0,0,0,True
284,rural,all ages,77216,39110,38106,16194,7730,8464,61022,31380,29642,0,0,0,True
284,urban,all ages,48529,24278,24251,8749,4218,4531,39780,20060,19720,0,0,0,True
285,total,all ages,64937,32851,32086,10461,5253,5208,54476,27598,26878,0,0,0,True
285,rural,all ages,32918,16643,16275,5824,2896,2928,27094,13747,13347,0,0,0,True
285,urban,all ages,32019,16208,15811,4637,2357,2280,27382,13851,13531,0,0,0,True
286,total,all ages,161428,82891,78537,40306,18376,21930,121122,64515,56607,0,0,0,True
286,rural,all ages,92676,47577,45099,30562,13510,17052,62114,34067,28047,0,0,0,True
286,urban,all ages,68752,35314,33438,9744,4866,4878,59008,30448,28560,0,0,0,True
287,total,all ages,117894,60599,57295,55033,24155,30878,62861,36444,26417,0,0,0,True
287,rural,all ages,97064,49940,47124,51142,22296,28846,45922,27644,18278,0,0,0,True
287,urban,all ages,20830,10659,10171,3891,1859,2032,16939,8800,8139,0,0,0,True
288,total,all ages,56574,28594,27980,14341,6733,7608,42233,21861,20372,0,0,0,True
288,rural,all ages,31464,15853,15611,9501,4324,5177,21963,11529,10434,0,0,0,True
288,urban,all ages,25110,12741,12369,4840,2409,2431,20270,10332,9938,0,0,0,True
