district_code,area_type,age_group,total_persons,male_persons,female_persons,total_illiterate,male_illiterate,female_illiterate,total_literate,male_literate,female_literate,persons_check,illiterate_check,literate_check,is_valid
0,total,all ages,1978502,1024649,953853,636068,300692,335376,1342434,723957,618477,0,0,0,True
0,rural,all ages,1407536,725472,682064,510873,241451,269422,896663,484021,412642,0,0,0,True
0,urban,all ages,570966,299177,271789,125195,59241,65954,445771,239936,205835,0,0,0,True
261,total,all ages,250260,131753,118507,130634,64321,66313,119626,67432,52194,0,0,0,True
261,rural,all ages,215816,113469,102347,120885,59531,61354,94931,53938,40993,0,0,0,True
261,urban,all ages,34444,18284,16160,9749,4790,4959,24695,13494,11201,0,0,0,True
262,total,all ages,194622,101092,93530,35128,17613,17515,159494,83479,76015,0,0,0,True
262,rural,all ages,138897,71373,67524,26286,13066,13220,112611,58307,54304,0,0,0,True
262,urban,all ages,55725,29719,26006,8842,4547,4295,46883,25172,21711,0,0,0,True
263,total,all ages,140757,71217,69540,37876,17713,20163,102881,53504,49377,0,0,0,True
263,rural,all ages,113160,56786,56374,33011,15409,17602,80149,41377,38772,0,0,0,True
263,urban,all ages,27597,14431,13166,4865,2304,2561,22732,12127,10605,0,0,0,True
264,total,all ages,166343,84505,81838,38135,17120,21015,128208,67385,60823,0,0,0,True
264,rural,all ages,131339,66435,64904,33118,14768,18350,98221,51667,46554,0,0,0,True
264,urban,all ages,35004,18070,16934,5017,2352,2665,29987,15718,14269,0,0,0,True
265,total,all ages,378811,197394,181417,100774,47252,53522,278037,150142,127895,0,0,0,True
265,rural,all ages,180942,93435,87507,54120,25095,29025,126822,68340,58482,0,0,0,True
265,urban,all ages,197869,103959,93910,46654,22157,24497,151215,81802,69413,0,0,0,True
266,total,all ages,163418,83743,79675,57525,25817,31708,105893,57926,47967,0,0,0,True
266,rural,all ages,138843,70529,68314,51610,23192,28418,87233,47337,39896,0,0,0,True
266,urban,all ages,24575,13214,11361,5915,2625,3290,18660,10589,8071,0,0,0,True
267,total,all ages,196596,101933,94663,79085,38280,40805,117511,63653,53858,0,0,0,True
267,rural,all ages,159822,82462,77360,70870,34349,36521,88952,48113,40839,0,0,0,True
267,urban,all ages,36774,19471,17303,8215,3931,4284,28559,15540,13019,0,0,0,True
268,total,all ages,50484,26502,23982,20625,10363,10262,29859,16139,13720,0,0,0,True
268,rural,all ages,42871,22511,20360,18853,9495,9358,24018,13016,11002,0,0,0,True
268,urban,all ages,7613,3991,3622,1772,868,904,5841,3123,2718,0,0,0,True
269,total,all ages,74004,37830,36174,32772,15155,17617,41232,22675,18557,0,0,0,True
269,rural,all ages,57517,29243,28274,28130,12988,15142,29387,16255,13132,0,0,0,True
269,urban,all ages,16487,8587,7900,4642,2167,2475,11845,6420,5425,0,0,0,True
270,total,all ages,267988,138966,129022,70499,31928,38571,197489,107038,90451,0,0,0,True
270,rural,all ages,146900,76369,70531,44916,20098,24818,101984,56271,45713,0,0,0,True
270,urban,all ages,121088,62597,58491,25583,11830,13753,95505,50767,44738,0,0,0,True
271,total,all ages,95219,49714,45505,33015,15130,17885,62204,34584,27620,0,0,0,True
271,rural,all ages,81429,42860,38569,29074,13460,15614,52355,29400,22955,0,0,0,True
271,urban,all ages,13790,6854,6936,3941,1670,2271,9849,5184,4665,0,0,0,True
