district_code,area_type,age_group,total_persons,male_persons,female_persons,total_illiterate,male_illiterate,female_illiterate,total_literate,male_literate,female_literate,persons_check,illiterate_check,literate_check,is_valid
0,total,all ages,16787941,8987326,7800615,4050174,1792470,2257704,12737767,7194856,5542911,0,0,0,True
0,rural,all ages,419042,226321,192721,122442,51994,70448,296600,174327,122273,0,0,0,True
0,urban,all ages,16368899,8761005,7607894,3927732,1740476,2187256,12441167,7020529,5420638,0,0,0,True
90,total,all ages,3656539,1960922,1695617,948684,418970,529714,2707855,1541952,1165903,0,0,0,True
90,rural,all ages,213950,115680,98270,66623,28637,37986,147327,87043,60284,0,0,0,True
90,urban,all ages,3442589,1845242,1597347,882061,390333,491728,2560528,1454909,1105619,0,0,0,True
91,total,all ages,887978,475002,412976,206461,93387,113074,681517,381615,299902,0,0,0,True
91,rural,all ages,17746,9546,8200,4506,1846,2660,13240,7700,5540,0,0,0,True
91,urban,all ages,870232,465456,404776,201955,91541,110414,668277,373915,294362,0,0,0,True
92,total,all ages,2241624,1188425,1053199,630036,275944,354092,1611588,912481,699107,0,0,0,True
92,rural,all ages,21527,11718,9809,7062,3203,3859,14465,8515,5950,0,0,0,True
92,urban,all ages,2220097,1176707,1043390,622974,272741,350233,1597123,903966,693157,0,0,0,True
93,total,all ages,1709346,907500,801846,356348,159118,197230,1352998,748382,604616,0,0,0,True
93,rural,all ages,3530,1861,1669,544,278,266,2986,1583,1403,0,0,0,True
93,urban,all ages,1705816,905639,800177,355804,158840,196964,1350012,746799,603213,0,0,0,True
94,total,all ages,142004,77942,64062,27825,12264,15561,114179,65678,48501,0,0,0,True
94,rural,all ages,0,0,0,0,0,0,0,0,0,0,0,0,True
94,urban,all ages,142004,77942,64062,27825,12264,15561,114179,65678,48501,0,0,0,True
95,total,all ages,582320,307821,274499,139960,67303,72657,442360,240518,201842,0,0,0,True
95,rural,all ages,0,0,0,0,0,0,0,0,0,0,0,0,True
95,urban,all ages,582320,307821,274499,139960,67303,72657,442360,240518,201842,0,0,0,True
96,total,all ages,2543243,1356240,1187003,582064,262307,319757,1961179,1093933,867246,0,0,0,True
96,rural,all ages,6420,3355,3065,1972,792,1180,4448,2563,1885,0,0,0,True
96,urban,all ages,2536823,1352885,1183938,580092,261515,318577,1956731,1091370,865361,0,0,0,True
97,total,all ages,2292958,1246046,1046912,505269,220785,284484,1787689,1025261,762428,0,0,0,True
97,rural,all ages,143676,77342,66334,37678,15455,22223,105998,61887,44111,0,0,0,True
97,urban,all ages,2149282,1168704,980578,467591,205330,262261,1681691,963374,718317,0,0,0,True
98,total,all ages,2731929,1467428,1264501,653527,282392,371135,2078402,1185036,893366,0,0,0,True
98,rural,all ages,12193,6819,5374,4057,1783,2274,8136,5036,3100,0,0,0,True
98,urban,all ages,2719736,1460609,1259127,649470,280609,368861,2070266,1180000,890266,0,0,0,True
