district_code,area_type,age_group,total_persons,male_persons,female_persons,total_illiterate,male_illiterate,female_illiterate,total_literate,male_literate,female_literate,persons_check,illiterate_check,literate_check,is_valid
0,total,all ages,41974218,21212136,20762082,15231623,6122455,9109168,26742595,15089681,11652914,0,0,0,True
0,rural,all ages,34970562,17586203,17384359,13592647,5431651,8160996,21377915,12154552,9223363,0,0,0,True
0,urban,all ages,7003656,3625933,3377723,1638976,690804,948172,5364680,2935129,2429551,0,0,0,True
370,total,all ages,1481255,749161,732094,497472,191944,305528,983783,557217,426566,0,0,0,True
370,rural,all ages,1331145,672603,658542,461973,177616,284357,869172,494987,374185,0,0,0,True
370,urban,all ages,150110,76558,73552,35499,14328,21171,114611,62230,52381,0,0,0,True
371,total,all ages,579505,296690,282815,173626,68598,105028,405879,228092,177787,0,0,0,True
371,rural,all ages,348340,176162,172178,113378,43714,69664,234962,132448,102514,0,0,0,True
371,urban,all ages,231165,120528,110637,60248,24884,35364,170917,95644,75273,0,0,0,True
372,total,all ages,1041099,526877,514222,337408,133685,203723,703691,393192,310499,0,0,0,True
372,rural,all ages,733006,368692,364314,262109,102464,159645,470897,266228,204669,0,0,0,True
372,urban,all ages,308093,158185,149908,75299,31221,44078,232794,126964,105830,0,0,0,True
373,total,all ages,312520,158230,154290,114701,45581,69120,197819,112649,85170,0,0,0,True
373,rural,all ages,290130,146666,143464,108830,43130,65700,181300,103536,77764,0,0,0,True
373,urban,all ages,22390,11564,10826,5871,2451,3420,16519,9113,7406,0,0,0,True
374,total,all ages,2093437,1061147,1032290,751115,311000,440115,1342322,750147,592175,0,0,0,True
374,rural,all ages,1355340,676068,679272,573193,234575,338618,782147,441493,340654,0,0,0,True
374,urban,all ages,738097,385079,353018,177922,76425,101497,560175,308654,251521,0,0,0,True
375,total,all ages,1801733,906487,895246,749215,301368,447847,1052518,605119,447399,0,0,0,True
375,rural,all ages,1548674,774667,774007,667985,267351,400634,880689,507316,373373,0,0,0,True
375,urban,all ages,253059,131820,121239,81230,34017,47213,171829,97803,74026,0,0,0,True
376,total,all ages,2519738,1256213,1263525,1150341,462042,688299,1369397,794171,575226,0,0,0,True
376,rural,all ages,2326842,1157576,1169266,1106414,443663,662751,1220428,713913,506515,0,0,0,True
376,urban,all ages,192896,98637,94259,43927,18379,25548,148969,80258,68711,0,0,0,True
377,total,all ages,2320529,1185787,1134742,699297,283428,415869,1621232,902359,718873,0,0,0,True
377,rural,all ages,2067236,1056466,1010770,636895,256584,380311,1430341,799882,630459,0,0,0,True
377,urban,all ages,253293,129321,123972,62402,26844,35558,190891,102477,88414,0,0,0,True
378,total,all ages,1506337,760260,746077,412197,163991,248206,1094140,596269,497871,0,0,0,True
378,rural,all ages,1320499,665255,655244,355786,139536,216250,964713,525719,438994,0,0,0,True
378,urban,all ages,185838,95005,90833,56411,24455,31956,129427,70550,58877,0,0,0,True
379,total,all ages,1440361,717814,722547,351096,137844,213252,1089265,579970,509295,0,0,0,True
379,rural,all ages,1356827,675053,681774,333342,130294,203048,1023485,544759,478726,0,0,0,True
379,urban,all ages,83534,42761,40773,17754,7550,10204,65780,35211,30569,0,0,0,True
380,total,all ages,1136971,577865,559106,247944,96816,151128,889027,481049,407978,0,0,0,True
380,rural,all ages,1020991,516813,504178,222789,85854,136935,798202,430959,367243,0,0,0,True
380,urban,all ages,115980,61052,54928,25155,10962,14193,90825,50090,40735,0,0,0,True
381,total,all ages,2624470,1352760,1271710,613001,249727,363274,2011469,1103033,908436,0,0,0,True
381,rural,all ages,1888423,970885,917538,480445,190863,289582,1407978,780022,627956,0,0,0,True
381,urban,all ages,736047,381875,354172,132556,58864,73692,603491,323011,280480,0,0,0,True
382,total,all ages,1827192,926034,901158,536737,219638,317099,1290455,706396,584059,0,0,0,True
382,rural,all ages,1692095,856539,835556,503612,205386,298226,1188483,651153,537330,0,0,0,True
382,urban,all ages,135097,69495,65602,33125,14252,18873,101972,55243,46729,0,0,0,True
383,total,all ages,1192811,612593,580218,362901,148500,214401,829910,464093,365817,0,0,0,True
383,rural,all ages,1075305,551326,523979,339782,138559,201223,735523,412767,322756,0,0,0,True
383,urban,all ages,117506,61267,56239,23119,9941,13178,94387,51326,43061,0,0,0,True
384,total,all ages,1273821,655718,618103,404365,161293,243072,869456,494425,375031,0,0,0,True
384,rural,all ages,1067275,546385,520890,358206,141613,216593,709069,404772,304297,0,0,0,True
384,urban,all ages,206546,109333,97213,46159,19680,26479,160387,89653,70734,0,0,0,True
385,total,all ages,962789,502636,460153,274427,110303,164124,688362,392333,296029,0,0,0,True
385,rural,all ages,883051,461019,422032,257706,103332,154374,625345,357687,267658,0,0,0,True
385,urban,all ages,79738,41617,38121,16721,6971,9750,63017,34646,28371,0,0,0,True
386,total,all ages,2251673,1167137,1084536,501737,209622,292115,1749936,957515,792421,0,0,0,True
386,rural,all ages,1167357,595809,571548,307677,124120,183557,859680,471689,387991,0,0,0,True
386,urban,all ages,1084316,571328,512988,194060,85502,108558,890256,485826,404430,0,0,0,True
387,total,all ages,1698730,865380,833350,406791,160523,246268,1291939,704857,587082,0,0,0,True
387,rural,all ages,1433800,728213,705587,351598,136363,215235,1082202,591850,490352,0,0,0,True
387,urban,all ages,264930,137167,127763,55193,24160,31033,209737,113007,96730,0,0,0,True
388,total,all ages,3529031,1779218,1749813,1318981,516566,802415,2210050,1262652,947398,0,0,0,True
388,rural,all ages,2761030,1383636,1377394,1125880,437924,687956,1635150,945712,689438,0,0,0,True
388,urban,all ages,768001,395582,372419,193101,78642,114459,574900,316940,257960,0,0,0,True
389,total,all ages,577817,282882,294935,315280,129219,186061,262537,153663,108874,0,0,0,True
389,rural,all ages,507151,247655,259496,293991,120721,173270,213160,126934,86226,0,0,0,True
389,urban,all ages,70666,35227,35439,21289,8498,12791,49377,26729,22648,0,0,0,True
390,total,all ages,733110,359945,373165,333324,126045,207279,399786,233900,165886,0,0,0,True
390,rural,all ages,660831,323523,337308,316938,119726,197212,343893,203797,140096,0,0,0,True
390,urban,all ages,72279,36422,35857,16386,6319,10067,55893,30103,25790,0,0,0,True
391,total,all ages,441162,221625,219537,169550,62977,106573,271612,158648,112964,0,0,0,True
391,rural,all ages,420738,211133,209605,165022,61269,103753,255716,149864,105852,0,0,0,True
391,urban,all ages,20424,10492,9932,4528,1708,2820,15896,8784,7112,0,0,0,True
392,total,all ages,610183,311312,298871,211762,80919,130843,398421,230393,168028,0,0,0,True
392,rural,all ages,560242,285634,274608,198744,75968,122776,361498,209666,151832,0,0,0,True
