district_code,area_type,age_group,total_persons,male_persons,female_persons,total_illiterate,male_illiterate,female_illiterate,total_literate,male_literate,female_literate,persons_check,illiterate_check,literate_check,is_valid
0,total,all ages,1247953,612511,635442,290644,115133,175511,957309,497378,459931,0,0,0,True
0,rural,all ages,395200,194907,200293,114318,44417,69901,280882,150490,130392,0,0,0,True
0,urban,all ages,852753,417604,435149,176326,70716,105610,676427,346888,329539,0,0,0,True
634,total,all ages,55626,27301,28325,16352,7382,8970,39274,19919,19355,0,0,0,True
634,rural,all ages,0,0,0,0,0,0,0,0,0,0,0,0,True
634,urban,all ages,55626,27301,28325,16352,7382,8970,39274,19919,19355,0,0,0,True
635,total,all ages,950289,468258,482031,223640,87312,136328,726649,380946,345703,0,0,0,True
635,rural,all ages,293080,144769,148311,89299,34495,54804,203781,110274,93507,0,0,0,True
635,urban,all ages,657209,323489,333720,134341,52817,81524,522868,270672,252196,0,0,0,True
636,total,all ages,41816,19143,22673,5346,2533,2813,36470,16610,19860,0,0,0,True
636,rural,all ages,0,0,0,0,0,0,0,0,0,0,0,0,True
636,urban,all ages,41816,19143,22673,5346,2533,2813,36470,16610,19860,0,0,0,True
637,total,all ages,200222,97809,102413,45306,17906,27400,154916,79903,75013,0,0,0,True
637,rural,all ages,102120,50138,51982,25019,9922,15097,77101,40216,36885,0,0,0,True
637,urban,all ages,98102,47671,50431,20287,7984,12303,77815,39687,38128,0,0,0,True
