district_code,area_type,age_group,total_persons,male_persons,female_persons,total_illiterate,male_illiterate,female_illiterate,total_literate,male_literate,female_literate,persons_check,illiterate_check,literate_check,is_valid
0,total,all ages,27743338,14639465,13103873,9036201,4203409,4832792,18707137,10436056,8271081,0,0,0,True
0,rural,all ages,17344192,9093476,8250716,6346535,2934669,3411866,10997657,6158807,4838850,0,0,0,True
0,urban,all ages,10399146,5545989,4853157,2689666,1268740,1420926,7709480,4277249,3432231,0,0,0,True
35,total,all ages,2298323,1212617,1085706,663604,304957,358647,1634719,907660,727059,0,0,0,True
35,rural,all ages,1639004,855784,783220,522467,238932,283535,1116537,616852,499685,0,0,0,True
35,urban,all ages,659319,356833,302486,141137,66025,75112,518182,290808,227374,0,0,0,True
36,total,all ages,815168,426311,388857,238601,110057,128544,576567,316254,260313,0,0,0,True
36,rural,all ages,532706,275932,256774,171930,79013,92917,360776,196919,163857,0,0,0,True
36,urban,all ages,282462,150379,132083,66671,31044,35627,215791,119335,96456,0,0,0,True
37,total,all ages,2193590,1145211,1048379,571053,262630,308423,1622537,882581,739956,0,0,0,True
37,rural,all ages,1032419,528790,503629,304285,135923,168362,728134,392867,335267,0,0,0,True
37,urban,all ages,1161171,616421,544750,266768,126707,140061,894403,489714,404689,0,0,0,True
38,total,all ages,1586625,809057,777568,386926,171130,215796,1199699,637927,561772,0,0,0,True
38,rural,all ages,1251656,634470,617186,315821,137838,177983,935835,496632,439203,0,0,0,True
38,urban,all ages,334969,174587,160382,71105,33292,37813,263864,141295,122569,0,0,0,True
39,total,all ages,612310,313291,299019,173851,74136,99715,438459,239155,199304,0,0,0,True
39,rural,all ages,486894,248118,238776,141299,59506,81793,345595,188612,156983,0,0,0,True
39,urban,all ages,125416,65173,60243,32552,14630,17922,92864,50543,42321,0,0,0,True
40,total,all ages,600163,320795,279368,174130,82099,92031,426033,238696,187337,0,0,0,True
40,rural,all ages,414681,220050,194631,126341,59128,67213,288340,160922,127418,0,0,0,True
40,urban,all ages,185482,100745,84737,47789,22971,24818,137693,77774,59919,0,0,0,True
41,total,all ages,3498739,1867816,1630923,938514,439468,499046,2560225,1428348,1131877,0,0,0,True
41,rural,all ages,1429031,753444,675587,426962,196148,230814,1002069,557296,444773,0,0,0,True
41,urban,all ages,2069708,1114372,955336,511552,243320,268232,1558156,871052,687104,0,0,0,True
42,total,all ages,995746,525920,469826,367857,177371,190486,627889,348549,279340,0,0,0,True
42,rural,all ages,768500,405704,362796,300497,144979,155518,468003,260725,207278,0,0,0,True
42,urban,all ages,227246,120216,107030,67360,32392,34968,159886,87824,72062,0,0,0,True
43,total,all ages,2029074,1071637,957437,801563,364567,436996,1227511,707070,520441,0,0,0,True
43,rural,all ages,1476518,776208,700310,635698,286746,348952,840820,489462,351358,0,0,0,True
43,urban,all ages,552556,295429,257127,165865,77821,88044,386691,217608,169083,0,0,0,True
44,total,all ages,901896,475622,426274,377048,175221,201827,524848,300401,224447,0,0,0,True
44,rural,all ages,649705,342202,307503,294544,137269,157275,355161,204933,150228,0,0,0,True
44,urban,all ages,252191,133420,118771,82504,37952,44552,169687,95468,74219,0,0,0,True
45,total,all ages,617508,326671,290837,236223,110904,125319,381285,215767,165518,0,0,0,True
45,rural,all ages,400457,210782,189675,170658,80482,90176,229799,130300,99499,0,0,0,True
45,urban,all ages,217051,115889,101162,65565,30422,35143,151486,85467,66019,0,0,0,True
46,total,all ages,1388525,743197,645328,543657,254936,288721,844868,488261,356607,0,0,0,True
46,rural,all ages,889308,474484,414824,396116,186952,209164,493192,287532,205660,0,0,0,True
46,urban,all ages,499217,268713,230504,147541,67984,79557,351676,200729,150947,0,0,0,True
47,total,all ages,769751,408732,361019,346191,164695,181496,423560,244037,179523,0,0,0,True
47,rural,all ages,606147,322184,283963,292903,140081,152822,313244,182103,131141,0,0,0,True
47,urban,all ages,163604,86548,77056,53288,24614,28674,110316,61934,48382,0,0,0,True
48,total,all ages,1895686,1002522,893164,628895,291470,337425,1266791,711052,555739,0,0,0,True
48,rural,all ages,1132406,598800,533606,443568,205360,238208,688838,393440,295398,0,0,0,True
48,urban,all ages,763280,403722,359558,185327,86110,99217,577953,317612,260341,0,0,0,True
49,total,all ages,2490656,1318408,1172248,805886,385427,420459,1684770,932981,751789,0,0,0,True
49,rural,all ages,1156045,607266,548779,466598,221231,245367,689447,386035,303412,0,0,0,True
49,urban,all ages,1334611,711142,623469,339288,164196,175092,995323,546946,448377,0,0,0,True
50,total,all ages,1119627,589369,530258,453465,212942,240523,666162,376427,289735,0,0,0,True
50,rural,all ages,977832,514322,463510,407719,191157,216562,570113,323165,246948,0,0,0,True
50,urban,all ages,141795,75047,66748,45746,21785,23961,96049,53262,42787,0,0,0,True
51,total,all ages,684627,357485,327142,181896,78951,102945,502731,278534,224197,0,0,0,True
51,rural,all ages,506820,264089,242731,141898,60713,81185,364922,203376,161546,0,0,0,True
51,urban,all ages,177807,93396,84411,39998,18238,21760,137809,75158,62651,0,0,0,True
52,total,all ages,994628,529253,465375,258053,119309,138744,736575,409944,326631,0,0,0,True
52,rural,all ages,450017,240984,209033,136448,62451,73997,313569,178533,135036,0,0,0,True
52,urban,all ages,544611,288269,256342,121605,56858,64747,423006,231411,191595,0,0,0,True
53,total,all ages,1655169,878029,777140,653092,307616,345476,1002077,570413,431664,0,0,0,True
53,rural,all ages,1139204,604653,534551,480347,227066,253281,658857,377587,281270,0,0,0,True
53,urban,all ages,515965,273376,242589,172745,80550,92195,343220,192826,150394,0,0,0,True
54,total,all ages,595527,317522,278005,235696,115523,120173,359831,201999,157832,0,0,0,True
54,rural,all ages,404842,215210,189632,170436,83694,86742,234406,131516,102890,0,0,0,True
