district_code,area_type,age_group,total_persons,male_persons,female_persons,total_illiterate,male_illiterate,female_illiterate,total_literate,male_literate,female_literate,persons_check,illiterate_check,literate_check,is_valid
0,total,all ages,610577,323070,287507,165625,71801,93824,444952,251269,193683,0,0,0,True
0,rural,all ages,456999,242797,214202,135069,58552,76517,321930,184245,137685,0,0,0,True
0,urban,all ages,153578,80273,73305,30556,13249,17307,123022,67024,55998,0,0,0,True
241,total,all ages,43709,24730,18979,13259,6151,7108,30450,18579,11871,0,0,0,True
241,rural,all ages,39065,22274,16791,12017,5580,6437,27048,16694,10354,0,0,0,True
241,urban,all ages,4644,2456,2188,1242,571,671,3402,1885,1517,0,0,0,True
242,total,all ages,136435,70238,66197,43003,18250,24753,93432,51988,41444,0,0,0,True
242,rural,all ages,131187,67528,63659,41962,17817,24145,89225,49711,39514,0,0,0,True
242,urban,all ages,5248,2710,2538,1041,433,608,4207,2277,1930,0,0,0,True
243,total,all ages,146850,76670,70180,40109,17313,22796,106741,59357,47384,0,0,0,True
243,rural,all ages,125651,65848,59803,35885,15509,20376,89766,50339,39427,0,0,0,True
243,urban,all ages,21199,10822,10377,4224,1804,2420,16975,9018,7957,0,0,0,True
244,total,all ages,283583,151432,132151,69254,30087,39167,214329,121345,92984,0,0,0,True
244,rural,all ages,161096,87147,73949,45205,19646,25559,115891,67501,48390,0,0,0,True
244,urban,all ages,122487,64285,58202,24049,10441,13608,98438,53844,44594,0,0,0,True
