district_code,area_type,age_group,total_persons,male_persons,female_persons,total_illiterate,male_illiterate,female_illiterate,total_literate,male_literate,female_literate,persons_check,illiterate_check,literate_check,is_valid
0,total,all ages,72147030,36137975,36009055,20309523,8097484,12212039,51837507,28040491,23797016,0,0,0,True
0,rural,all ages,37229590,18679065,18550525,12727395,5013226,7714169,24502195,13665839,10836356,0,0,0,True
0,urban,all ages,34917440,17458910,17458530,7582128,3084258,4497870,27335312,14374652,12960660,0,0,0,True
602,total,all ages,3728104,1876062,1852042,936383,380351,556032,2791721,1495711,1296010,0,0,0,True
602,rural,all ages,1299709,650462,649247,440009,174263,265746,859700,476199,383501,0,0,0,True
602,urban,all ages,2428395,1225600,1202795,496374,206088,290286,1932021,1019512,912509,0,0,0,True
603,total,all ages,4646732,2335844,2310888,870456,367765,502691,3776276,1968079,1808197,0,0,0,True
603,rural,all ages,0,0,0,0,0,0,0,0,0,0,0,0,True
603,urban,all ages,4646732,2335844,2310888,870456,367765,502691,3776276,1968079,1808197,0,0,0,True
604,total,all ages,3998252,2012958,1985294,984870,401497,583373,3013382,1611461,1401921,0,0,0,True
604,rural,all ages,1459916,734979,724937,471538,187985,283553,988378,546994,441384,0,0,0,True
604,urban,all ages,2538336,1277979,1260357,513332,213512,299820,2025004,1064467,960537,0,0,0,True
605,total,all ages,3936331,1961688,1974643,1162403,457333,705070,2773928,1504355,1269573,0,0,0,True
605,rural,all ages,2234344,1117101,1117243,751413,292794,458619,1482931,824307,658624,0,0,0,True
605,urban,all ages,1701987,844587,857400,410990,164539,246451,1290997,680048,610949,0,0,0,True
606,total,all ages,2464875,1235889,1228986,838062,326086,511976,1626813,909803,717010,0,0,0,True
606,rural,all ages,1969930,989726,980204,716832,279061,437771,1253098,710665,542433,0,0,0,True
606,urban,all ages,494945,246163,248782,121230,47025,74205,373715,199138,174577,0,0,0,True
607,total,all ages,3458873,1740819,1718054,1263097,506340,756757,2195776,1234479,961297,0,0,0,True
607,rural,all ages,2939785,1481475,1458310,1135842,455858,679984,1803943,1025617,778326,0,0,0,True
607,urban,all ages,519088,259344,259744,127255,50482,76773,391833,208862,182971,0,0,0,True
608,total,all ages,3482056,1781571,1700485,1196494,496464,700030,2285562,1285107,1000455,0,0,0,True
608,rural,all ages,1707934,883274,824660,699173,292739,406434,1008761,590535,418226,0,0,0,True
608,urban,all ages,1774122,898297,875825,497321,203725,293596,1276801,694572,582229,0,0,0,True
609,total,all ages,1726601,869280,857321,550470,215968,334502,1176131,653312,522819,0,0,0,True
609,rural,all ages,1030476,520684,509792,358683,140609,218074,671793,380075,291718,0,0,0,True
609,urban,all ages,696125,348596,347529,191787,75359,116428,504338,273237,231101,0,0,0,True
610,total,all ages,2251744,1129868,1121876,759082,301568,457514,1492662,828300,664362,0,0,0,True
610,rural,all ages,1093768,552393,541375,438722,176419,262303,655046,375974,279072,0,0,0,True
610,urban,all ages,1157976,577475,580501,320360,125149,195211,837616,452326,385290,0,0,0,True
611,total,all ages,735394,360143,375251,165747,60696,105051,569647,299447,270200,0,0,0,True
611,rural,all ages,299739,145909,153830,77784,27446,50338,221955,118463,103492,0,0,0,True
611,urban,all ages,435655,214234,221421,87963,33250,54713,347692,180984,166708,0,0,0,True
612,total,all ages,2159775,1080938,1078837,677941,264758,413183,1481834,816180,665654,0,0,0,True
612,rural,all ages,1351735,678605,673130,481464,186869,294595,870271,491736,378535,0,0,0,True
612,urban,all ages,808040,402333,405707,196477,77889,118588,611563,324444,287119,0,0,0,True
613,total,all ages,1064493,528184,536309,337449,126458,210991,727044,401726,325318,0,0,0,True
613,rural,all ages,629976,312628,317348,235842,88197,147645,394134,224431,169703,0,0,0,True
613,urban,all ages,434517,215556,218961,101607,38261,63346,332910,177295,155615,0,0,0,True
614,total,all ages,2722290,1352284,1370006,683309,264519,418790,2038981,1087765,951216,0,0,0,True
614,rural,all ages,1384257,688552,695705,434015,164319,269696,950242,524233,426009,0,0,0,True
614,urban,all ages,1338033,663732,674301,249294,100200,149094,1088739,563532,525207,0,0,0,True
615,total,all ages,565223,282157,283066,189400,74146,115254,375823,208011,167812,0,0,0,True
615,rural,all ages,468060,233926,234134,166344,64820,101524,301716,169106,132610,0,0,0,True
615,urban,all ages,97163,48231,48932,23056,9326,13730,74107,38905,35202,0,0,0,True
616,total,all ages,754894,374703,380191,274290,105121,169169,480604,269582,211022,0,0,0,True
616,rural,all ages,671100,333253,337847,251687,96182,155505,419413,237071,182342,0,0,0,True
616,urban,all ages,83794,41450,42344,22603,8939,13664,61191,32511,28680,0,0,0,True
617,total,all ages,2605914,1311697,1294217,790633,311375,479258,1815281,1000322,814959,0,0,0,True
617,rural,all ages,1720725,868861,851864,594680,233978,360702,1126045,634883,491162,0,0,0,True
617,urban,all ages,885189,442836,442353,195953,77397,118556,689236,365439,323797,0,0,0,True
618,total,all ages,1616450,798127,818323,403442,157211,246231,1213008,640916,572092,0,0,0,True
618,rural,all ages,1251826,619369,632457,330040,128099,201941,921786,491270,430516,0,0,0,True
618,urban,all ages,364624,178758,185866,73402,29112,44290,291222,149646,141576,0,0,0,True
619,total,all ages,1264277,626693,637584,317806,123608,194198,946471,503085,443386,0,0,0,True
619,rural,all ages,1006482,499954,506528,268595,103679,164916,737887,396275,341612,0,0,0,True
619,urban,all ages,257795,126739,131056,49211,19929,29282,208584,106810,101774,0,0,0,True
620,total,all ages,2405890,1182416,1223474,614892,238152,376740,1790998,944264,846734,0,0,0,True
620,rural,all ages,1554531,765177,789354,449545,171999,277546,1104986,593178,511808,0,0,0,True
620,urban,all ages,851359,417239,434120,165347,66153,99194,686012,351086,334926,0,0,0,True
621,total,all ages,1618345,803188,815157,507800,194412,313388,1110545,608776,501769,0,0,0,True
621,rural,all ages,1301991,645505,656486,442308,168447,273861,859683,477058,382625,0,0,0,True
621,urban,all ages,316354,157683,158671,65492,25965,39527,250862,131718,119144,0,0,0,True
