district_code,area_type,age_group,total_persons,male_persons,female_persons,total_illiterate,male_illiterate,female_illiterate,total_literate,male_literate,female_literate,persons_check,illiterate_check,literate_check,is_valid
0,total,all ages,3673917,1874376,1799541,869134,373007,496127,2804783,1501369,1303414,0,0,0,True
0,rural,all ages,2712464,1387173,1325291,719691,305670,414021,1992773,1081503,911270,0,0,0,True
0,urban,all ages,961453,487203,474250,149443,67337,82106,812010,419866,392144,0,0,0,True
289,total,all ages,1725739,879428,846311,364385,156430,207955,1361354,722998,638356,0,0,0,True
289,rural,all ages,1048101,536720,511381,259099,109139,149960,789002,427581,361421,0,0,0,True
289,urban,all ages,677638,342708,334930,105286,47291,57995,572352,295417,276935,0,0,0,True
290,total,all ages,876001,447544,428457,229191,96462,132729,646810,351082,295728,0,0,0,True
290,rural,all ages,752970,384787,368183,210084,87967,122117,542886,296820,246066,0,0,0,True
290,urban,all ages,123031,62757,60274,19107,8495,10612,103924,54262,49662,0,0,0,True
291,total,all ages,378230,194544,183686,102013,42901,59112,276217,151643,124574,0,0,0,True
291,rural,all ages,337731,173773,163958,95913,40133,55780,241818,133640,108178,0,0,0,True
291,urban,all ages,40499,20771,19728,6100,2768,3332,34399,18003,16396,0,0,0,True
292,total,all ages,693947,352860,341087,173545,77214,96331,520402,275646,244756,0,0,0,True
292,rural,all ages,573662,291893,281769,154595,68431,86164,419067,223462,195605,0,0,0,True
292,urban,all ages,120285,60967,59318,18950,8783,10167,101335,52184,49151,0,0,0,True
