district_code,area_type,age_group,total_persons,male_persons,female_persons,total_illiterate,male_illiterate,female_illiterate,total_literate,male_literate,female_literate,persons_check,illiterate_check,literate_check,is_valid
0,total,all ages,199812341,104480510,95331831,85414786,36245546,49169240,114397555,68234964,46162591,0,0,0,True
0,rural,all ages,155317278,80992995,74324283,70032598,29199307,40833291,85284680,51793688,33490992,0,0,0,True
0,urban,all ages,44495063,23487515,21007548,15382188,7046239,8335949,29112875,16441276,12671599,0,0,0,True
132,total,all ages,3466382,1834106,1632276,1389274,613992,775282,2077108,1220114,856994,0,0,0,True
132,rural,all ages,2399856,1269803,1130053,1009810,436743,573067,1390046,833060,556986,0,0,0,True
132,urban,all ages,1066526,564303,502223,379464,177249,202215,687062,387054,300008,0,0,0,True
133,total,all ages,4143512,2193434,1950078,1726173,744906,981267,2417339,1448528,968811,0,0,0,True
133,rural,all ages,2952200,1565004,1387196,1256806,532459,724347,1695394,1032545,662849,0,0,0,True
133,urban,all ages,1191312,628430,562882,469367,212447,256920,721945,415983,305962,0,0,0,True
134,total,all ages,3682713,1921215,1761498,1547320,679744,867576,2135393,1241471,893922,0,0,0,True
134,rural,all ages,2757401,1438412,1318989,1161227,495476,665751,1596174,942936,653238,0,0,0,True
134,urban,all ages,925312,482803,442509,386093,184268,201825,539219,298535,240684,0,0,0,True
135,total,all ages,4772006,2503186,2268820,2508158,1145751,1362407,2263848,1357435,906413,0,0,0,True
135,rural,all ages,3198383,1680022,1518361,1791241,800028,991213,1407142,879994,527148,0,0,0,True
135,urban,all ages,1573623,823164,750459,716917,345723,371194,856706,477441,379265,0,0,0,True
136,total,all ages,2335819,1223889,1111930,1292153,593481,698672,1043666,630408,413258,0,0,0,True
136,rural,all ages,1747172,916878,830294,988193,446272,541921,758979,470606,288373,0,0,0,True
136,urban,all ages,588647,307011,281636,303960,147209,156751,284687,159802,124885,0,0,0,True
137,total,all ages,1840221,963449,876772,857111,362908,494203,983110,600541,382569,0,0,0,True
137,rural,all ages,1381508,724539,656969,652301,268256,384045,729207,456283,272924,0,0,0,True
137,urban,all ages,458713,238910,219803,204810,94652,110158,253903,144258,109645,0,0,0,True
138,total,all ages,3443689,1825743,1617946,1302201,571223,730978,2141488,1254520,886968,0,0,0,True
138,rural,all ages,1684507,894920,789587,681839,288160,393679,1002668,606760,395908,0,0,0,True
138,urban,all ages,1759182,930823,828359,620362,283063,337299,1138820,647760,491060,0,0,0,True
139,total,all ages,1303048,700070,602978,505078,210212,294866,797970,489858,308112,0,0,0,True
139,rural,all ages,1028023,553807,474216,401766,165326,236440,626257,388481,237776,0,0,0,True
139,urban,all ages,275025,146263,128762,103312,44886,58426,171713,101377,70336,0,0,0,True
140,total,all ages,4681645,2488834,2192811,1558381,677437,880944,3123264,1811397,1311867,0,0,0,True
140,rural,all ages,1519098,808222,710876,596788,249867,346921,922310,558355,363955,0,0,0,True
140,urban,all ages,3162547,1680612,1481935,961593,427570,534023,2200954,1253042,947912,0,0,0,True
141,total,all ages,1648115,890214,757901,525168,224149,301019,1122947,666065,456882,0,0,0,True
141,rural,all ages,673806,359605,314201,251878,100945,150933,421928,258660,163268,0,0,0,True
141,urban,all ages,974309,530609,443700,273290,123204,150086,701019,407405,293614,0,0,0,True
142,total,all ages,3499171,1845260,1653911,1467515,591946,875569,2031656,1253314,778342,0,0,0,True
142,rural,all ages,2631742,1390490,1241252,1113763,436380,677383,1517979,954110,563869,0,0,0,True
142,urban,all ages,867429,454770,412659,353752,155566,198186,513677,299204,214473,0,0,0,True
143,total,all ages,3673889,1951996,1721893,1581322,668616,912706,2092567,1283380,809187,0,0,0,True
143,rural,all ages,2456698,1308923,1147775,1073703,432607,641096,1382995,876316,506679,0,0,0,True
143,urban,all ages,1217191,643073,574118,507619,236009,271610,709572,407064,302508,0,0,0,True
144,total,all ages,1564708,836127,728581,622136,256970,365166,942572,579157,363415,0,0,0,True
144,rural,all ages,1232015,659814,572201,494047,198693,295354,737968,461121,276847,0,0,0,True
144,urban,all ages,332693,176313,156380,128089,58277,69812,204604,118036,86568,0,0,0,True
145,total,all ages,2547184,1367125,1180059,1039438,423779,615659,1507746,943346,564400,0,0,0,True
145,rural,all ages,1791191,962028,829163,769522,303543,465979,1021669,658485,363184,0,0,0,True
145,urban,all ages,755993,405097,350896,269916,120236,149680,486077,284861,201216,0,0,0,True
146,total,all ages,4418797,2364953,2053844,1738287,750359,987928,2680510,1614594,1065916,0,0,0,True
146,rural,all ages,2394602,1285184,1109418,993493,402943,590550,1401109,882241,518868,0,0,0,True
146,urban,all ages,2024195,1079769,944426,744794,347416,397378,1279401,732353,547048,0,0,0,True
147,total,all ages,2498156,1332046,1166110,976350,419732,556618,1521806,912314,609492,0,0,0,True
147,rural,all ages,1664987,891872,773115,648743,268790,379953,1016244,623082,393162,0,0,0,True
147,urban,all ages,833169,440174,392995,327607,150942,176665,505562,289232,216330,0,0,0,True
148,total,all ages,1868529,993377,875152,664644,281267,383377,1203885,712110,491775,0,0,0,True
148,rural,all ages,1580087,842374,737713,574155,239853,334302,1005932,602521,403411,0,0,0,True
148,urban,all ages,288442,151003,137439,90489,41414,49075,197953,109589,88364,0,0,0,True
149,total,all ages,3681896,1967759,1714137,2134419,981258,1153161,1547477,986501,560976,0,0,0,True
149,rural,all ages,3037301,1630376,1406925,1812796,830483,982313,1224505,799893,424612,0,0,0,True
149,urban,all ages,644595,337383,307212,321623,150775,170848,322972,186608,136364,0,0,0,True
150,total,all ages,4448359,2357665,2090694,2256600,1014968,1241632,2191759,1342697,849062,0,0,0,True
150,rural,all ages,2879950,1530356,1349594,1547344,683588,863756,1332606,846768,485838,0,0,0,True
150,urban,all ages,1568409,827309,741100,709256,331380,377876,859153,495929,363224,0,0,0,True
151,total,all ages,2031007,1072002,959005,969912,417712,552200,1061095,654290,406805,0,0,0,True
151,rural,all ages,1679592,886789,792803,818044,348003,470041,861548,538786,322762,0,0,0,True
151,urban,all ages,351415,185213,166202,151868,69709,82159,199547,115504,84043,0,0,0,True
152,total,all ages,3006538,1606403,1400135,1515608,691261,824347,1490930,915142,575788,0,0,0,True
152,rural,all ages,2412446,1293714,1118732,1255624,568351,687273,1156822,725363,431459,0,0,0,True
152,urban,all ages,594092,312689,281403,259984,122910,137074,334108,189779,144329,0,0,0,True
153,total,all ages,4021243,2123187,1898056,1987199,886030,1101169,2034044,1237157,796887,0,0,0,True
153,rural,all ages,3560208,1880679,1679529,1813274,804527,1008747,1746934,1076152,670782,0,0,0,True
153,urban,all ages,461035,242508,218527,173925,81503,92422,287110,161005,126105,0,0,0,True
154,total,all ages,4483992,2375264,2108728,2200259,977562,1222697,2283733,1397702,886031,0,0,0,True
154,rural,all ages,3953208,2098123,1855085,2000690,883797,1116893,1952518,1214326,738192,0,0,0,True
154,urban,all ages,530784,277141,253643,199569,93765,105804,331215,183376,147839,0,0,0,True
155,total,all ages,4092845,2191442,1901403,1871244,816855,1054389,2221601,1374587,847014,0,0,0,True
155,rural,all ages,3551039,1906147,1644892,1667451,723867,943584,1883588,1182280,701308,0,0,0,True
155,urban,all ages,541806,285295,256511,203793,92988,110805,338013,192307,145706,0,0,0,True
156,total,all ages,3108367,1630087,1478280,1334783,577024,757759,1773584,1053063,720521,0,0,0,True
