district_code,area_type,age_group,total_persons,male_persons,female_persons,total_illiterate,male_illiterate,female_illiterate,total_literate,male_literate,female_literate,persons_check,illiterate_check,literate_check,is_valid
0,total,all ages,10086292,5137773,4948519,3205339,1274065,1931274,6880953,3863708,3017245,0,0,0,True
0,rural,all ages,7036954,3519042,3517912,2422904,922871,1500033,4614050,2596171,2017879,0,0,0,True
0,urban,all ages,3049338,1618731,1430607,782435,351194,431241,2266903,1267537,999366,0,0,0,True
56,total,all ages,330086,168597,161489,114960,40360,74600,215126,128237,86889,0,0,0,True
56,rural,all ages,305781,155375,150406,109872,38280,71592,195909,117095,78814,0,0,0,True
56,urban,all ages,24305,13222,11083,5088,2080,3008,19217,11142,8075,0,0,0,True
57,total,all ages,391605,193991,197614,111049,38596,72453,280556,155395,125161,0,0,0,True
57,rural,all ages,332209,160369,171840,99906,33498,66408,232303,126871,105432,0,0,0,True
57,urban,all ages,59396,33622,25774,11143,5098,6045,48253,28524,19729,0,0,0,True
58,total,all ages,242285,114589,127696,71352,22786,48566,170933,91803,79130,0,0,0,True
58,rural,all ages,232360,108740,123620,69416,21887,47529,162944,86853,76091,0,0,0,True
58,urban,all ages,9925,5849,4076,1936,899,1037,7989,4950,3039,0,0,0,True
59,total,all ages,618931,297986,320945,210937,70580,140357,407994,227406,180588,0,0,0,True
59,rural,all ages,548792,259381,289411,196016,64025,131991,352776,195356,157420,0,0,0,True
59,urban,all ages,70139,38605,31534,14921,6555,8366,55218,32050,23168,0,0,0,True
60,total,all ages,1696694,892199,804495,437188,189983,247205,1259506,702216,557290,0,0,0,True
60,rural,all ages,754753,392891,361862,236917,100509,136408,517836,292382,225454,0,0,0,True
60,urban,all ages,941941,499308,442633,200271,89474,110797,741670,409834,331836,0,0,0,True
61,total,all ages,687271,326829,360442,192382,64681,127701,494889,262148,232741,0,0,0,True
61,rural,all ages,574568,268029,306539,170010,54674,115336,404558,213355,191203,0,0,0,True
61,urban,all ages,112703,58800,53903,22372,10007,12365,90331,48793,41538,0,0,0,True
62,total,all ages,483439,239306,244133,137889,49683,88206,345550,189623,155927,0,0,0,True
62,rural,all ages,413834,202930,210904,124578,43201,81377,289256,159729,129527,0,0,0,True
62,urban,all ages,69605,36376,33229,13311,6482,6829,56294,29894,26400,0,0,0,True
63,total,all ages,259898,124326,135572,80415,26780,53635,179483,97546,81937,0,0,0,True
63,rural,all ages,250819,119615,131204,78653,26027,52626,172166,93588,78578,0,0,0,True
63,urban,all ages,9079,4711,4368,1762,753,1009,7317,3958,3359,0,0,0,True
64,total,all ages,622506,291081,331425,186009,59477,126532,436497,231604,204893,0,0,0,True
64,rural,all ages,560192,257359,302833,177103,55540,121563,383089,201819,181270,0,0,0,True
64,urban,all ages,62314,33722,28592,8906,3937,4969,53408,29785,23623,0,0,0,True
65,total,all ages,259648,131125,128523,81922,29110,52812,177726,102015,75711,0,0,0,True
65,rural,all ages,221305,110842,110463,71395,24463,46932,149910,86379,63531,0,0,0,True
65,urban,all ages,38343,20283,18060,10527,4647,5880,27816,15636,12180,0,0,0,True
66,total,all ages,954605,493666,460939,258105,107887,150218,696500,385779,310721,0,0,0,True
66,rural,all ages,582871,299257,283614,164901,65003,99898,417970,234254,183716,0,0,0,True
66,urban,all ages,371734,194409,177325,93204,42884,50320,278530,151525,127005,0,0,0,True
67,total,all ages,1648902,858783,790119,611063,260258,350805,1037839,598525,439314,0,0,0,True
67,rural,all ages,1062142,550470,511672,409425,171033,238392,652717,379437,273280,0,0,0,True
67,urban,all ages,586760,308313,278447,201638,89225,112413,385122,219088,166034,0,0,0,True
68,total,all ages,1890422,1005295,885127,712068,313884,398184,1178354,691411,486943,0,0,0,True
68,rural,all ages,1197328,633784,563544,514712,224731,289981,682616,409053,273563,0,0,0,True
68,urban,all ages,693094,371511,321583,197356,89153,108203,495738,282358,213380,0,0,0,True
