state_name,area_type,total_persons,male_persons,female_persons,total_literate,male_literate,female_literate,total_illiterate,male_illiterate,female_illiterate,literacy_rate,male_literacy_rate,female_literacy_rate,gender_literacy_gap
andaman_and_nicobar_islands,total,380581,202871,177710,294281,164377,129904,86300,38494,47806,0.7732414387475991,0.8102538066061684,0.7309886894378482,0.07926511716832019
andhra_pradesh,total,84580777,42442146,42138631,50556760,28251243,22305517,34024017,14190903,19833114,0.5977334542575791,0.6656412472639814,0.5293365368229452,0.1363047104410362
arunachal_pradesh,total,1383727,713912,669815,766005,439868,326137,617722,274044,343678,0.5535810170647822,0.6161375631730521,0.48690608600882335,0.12923147716422878
assam,total,31205576,15939443,15266133,19177977,10568639,8609338,12027599,5370804,6656795,0.6145689155040753,0.6630494553667904,0.5639501503098394,0.09909930505695097
bihar,total,104099452,54278157,49821295,52504553,31608023,20896530,51594899,22670134,28924765,0.5043691584466746,0.5823341238354869,0.4194296836322701,0.16290444020321676
chandigarh,total,1055450,580663,474787,805438,465346,340092,250012,115317,134695,0.7631228385996495,0.8014046012919714,0.7163043638515798,0.08510023744039164
chhattisgarh,total,25545198,12832895,12712303,15379922,8807893,6572029,10165276,4025002,6140274,0.6020670499402666,0.6863527676334918,0.5169817774167277,0.16937099021676416
dadra_and_nagar_haveli,total,343709,193760,149949,223230,142521,80709,120479,51239,69240,0.6494738281511395,0.7355542939719241,0.5382430026208911,0.19731129135103298
daman_and_diu,total,243247,150301,92946,188406,124643,63763,54841,25658,29183,0.7745460375667531,0.8292892262859196,0.6860219912637445,0.1432672350221751
goa,total,1458545,739140,719405,1165487,615823,549664,293058,123317,169741,0.799075105670377,0.8331615120274914,0.7640536276506279,0.06910788437686355
gujarat,total,60439692,31491260,28948432,41093358,23474873,17618485,19346334,8016387,11329947,0.6799068069374014,0.7454408937590938,0.6086162110611034,0.13682468269799042
haryana,total,25351462,13494734,11856728,16598988,9794067,6804921,8752474,3700667,5051807,0.6547546646422207,0.7257695483290001,0.573929080603013,0.15184046772598714
himachal_pradesh,total,6864602,3481873,3382729,5039736,2752590,2287146,1824866,729283,1095583,0.7341628837330991,0.7905486501087202,0.6761245136692889,0.11442413643943128
jammu_and_kashmir,total,12541302,6640662,5900640,7067233,4264671,2802562,5474069,2375991,3098078,0.5635166906912855,0.6422057017809369,0.47495898749966103,0.1672467142812759
jharkhand,total,32988134,16930315,16057819,18328069,10882519,7445550,14660065,6047796,8612269,0.5555958090869887,0.6427830196898285,0.4636713117765246,0.17911170791330394
karnataka,total,61095297,30966657,30128640,40647322,22508471,18138851,20447975,8458186,11989789,0.665310162908284,0.7268615078469723,0.6020467900310137,0.12481471781595865
kerala,total,33406061,16027412,17378649,28135824,13704903,14430921,5270237,2322509,2947728,0.842237101824127,0.8550914520697415,0.8303822121040594,0.024709239965682084
lakshadweep,total,64473,33123,31350,52553,28023,24530,11920,5100,6820,0.8151164053169544,0.8460284394529481,0.7824561403508772,0.06357229910207096
madhya_pradesh,total,72626809,37612306,35014503,42851169,25174328,17676841,29775640,12437978,17337662,0.5900186114469107,0.6693109430727273,0.5048434073161056,0.16446753575662176
maharashtra,total,112374333,58243056,54131277,81554290,45257584,36296706,30820043,12985472,17834571,0.725737700262924,0.7770468637497319,0.6705311238085147,0.10651573994121721
manipur,total,2855794,1438586,1417208,1908476,1039858,868618,947318,398728,548590,0.668282095977511,0.7228333933459661,0.6129079147168235,0.10992547862914259
meghalaya,total,2966889,1491832,1475057,1785005,913879,871126,1181884,577953,603931,0.6016419893025995,0.612588414781289,0.590571076236376,0.022017338544913057
mizoram,total,1097206,555339,541867,848175,438529,409646,249031,116810,132221,0.7730316822912014,0.789660009471692,0.7559899384904414,0.03367007098125063
nagaland,total,1978502,1024649,953853,1342434,723957,618477,636068,300692,335376,0.6785103072930935,0.706541459563226,0.6483986526225739,0.0581428069406521
nct_of_delhi,total,16787941,8987326,7800615,12737767,7194856,5542911,4050174,1792470,2257704,0.7587450420513153,0.8005558049190604,0.7105735893900673,0.0899822155289931
odisha,total,41974218,21212136,20762082,26742595,15089681,11652914,15231623,6122455,9109168,0.6371195527692738,0.711370179787646,0.5612594151203141,0.15011076466733198
puducherry,total,1247953,612511,635442,957309,497378,459931,290644,115133,175511,0.7671034085418281,0.8120311308694864,0.7237969791106034,0.08823415175888305
punjab,total,27743338,14639465,13103873,18707137,10436056,8271081,9036201,4203409,4832792,0.6742929419668247,0.712871406161359,0.6311936173374085,0.08167778882395049
rajasthan,total,68548437,35550997,32997440,38275282,23688412,14586870,30273155,11862585,18410570,0.558368413272501,0.6663220162292495,0.4420606568267114,0.22426135940253805
sikkim,total,610577,323070,287507,444952,251269,193683,165625,71801,93824,0.728740191654779,0.7777540471105333,0.6736635977558807,0.10409044935465261
tamil_nadu,total,72147030,36137975,36009055,51837507,28040491,23797016,20309523,8097484,12212039,0.7184981419193556,0.7759286733692189,0.6608619970726808,0.1150666762965381
tripura,total,3673917,1874376,1799541,2804783,1501369,1303414,869134,373007,496127,0.7634312370148808,0.8009967050367696,0.7243035863033963,0.07669311873337326
uttar_pradesh,total,199812341,104480510,95331831,114397555,68234964,46162591,85414786,36245546,49169240,0.572524972318902,0.653087968272743,0.4842306133824284,0.16885735489031456
uttarakhand,total,10086292,5137773,4948519,6880953,3863708,3017245,3205339,1274065,1931274,0.6822083873835896,0.7520199899839872,0.6097268697968018,0.14229312018718543
west_bengal,total,91276115,46809027,44467088,61538281,33818810,27719471,29737834,12990217,16747617,0.6741991702867721,0.7224847890984788,0.6233705026962862,0.09911428640219255
