state_name,area_type,total_persons,male_persons,female_persons,total_literate,male_literate,female_literate,total_illiterate,male_illiterate,female_illiterate,literacy_rate
andaman_and_nicobar_islands,rural,237093,126287,110806,178025,99960,78065,59068,26327,32741,0.7508656940525448
andaman_and_nicobar_islands,total,380581,202871,177710,294281,164377,129904,86300,38494,47806,0.7732414387475991
andaman_and_nicobar_islands,urban,143488,76584,66904,116256,64417,51839,27232,12167,15065,0.81021409455843
andhra_pradesh,rural,56361702,28243241,28118461,30351065,17395600,12955465,26010637,10847641,15162996,0.5385051182450097
andhra_pradesh,total,84580777,42442146,42138631,50556760,28251243,22305517,34024017,14190903,19833114,0.5977334542575791
andhra_pradesh,urban,28219075,14198905,14020170,20205695,10855643,9350052,8013380,3343262,4670118,0.7160296714190667
arunachal_pradesh,rural,1066358,546011,520347,535902,309390,226512,530456,236621,293835,0.5025535514339462
arunachal_pradesh,total,1383727,713912,669815,766005,439868,326137,617722,274044,343678,0.5535810170647822
arunachal_pradesh,urban,317369,167901,149468,230103,130478,99625,87266,37423,49843,0.7250330057441023
assam,rural,26807034,13678989,13128045,15685436,8706193,6979243,11121598,4972796,6148802,0.5851238894985548
assam,total,31205576,15939443,15266133,19177977,10568639,8609338,12027599,5370804,6656795,0.6145689155040753
assam,urban,4398542,2260454,2138088,3492541,1862446,1630095,906001,398008,507993,0.7940224283410275
bihar,rural,92341436,48073850,44267586,44812152,27241830,17570322,47529284,20832020,26697264,0.4852875798899207
bihar,total,104099452,54278157,49821295,52504553,31608023,20896530,51594899,22670134,28924765,0.5043691584466746
bihar,urban,11758016,6204307,5553709,7692401,4366193,3326208,4065615,1838114,2227501,0.6542261041318536
chandigarh,rural,28991,17150,11841,19961,12752,7209,9030,4398,4632,0.6885240246973199
chandigarh,total,1055450,580663,474787,805438,465346,340092,250012,115317,134695,0.7631228385996495
chandigarh,urban,1026459,563513,462946,785477,452594,332883,240982,110919,130063,0.7652297851156257
chhattisgarh,rural,19607961,9797426,9810535,11008956,6403012,4605944,8599005,3394414,5204591,0.5614533811037262
chhattisgarh,total,25545198,12832895,12712303,15379922,8807893,6572029,10165276,4025002,6140274,0.6020670499402666
chhattisgarh,urban,5937237,3035469,2901768,4370966,2404881,1966085,1566271,630588,935683,0.7361953043141111
dadra_and_nagar_haveli,rural,183114,98305,84809,99142,64050,35092,83972,34255,49717,0.5414222833863058
dadra_and_nagar_haveli,total,343709,193760,149949,223230,142521,80709,120479,51239,69240,0.6494738281511395
