district_code,area_type,age_group,total_persons,male_persons,female_persons,total_illiterate,male_illiterate,female_illiterate,total_literate,male_literate,female_literate,persons_check,illiterate_check,literate_check,is_row_valid
0,total,all ages,91276115,46809027,44467088,29737834,12990217,16747617,61538281,33818810,27719471,0,0,0,True
0,rural,all ages,62183113,31844945,30338168,22969334,9996748,12972586,39213779,21848197,17365582,0,0,0,True
0,urban,all ages,29093002,14964082,14128920,6768500,2993469,3775031,22324502,11970613,10353889,0,0,0,True
327,total,all ages,1846823,937259,909564,531238,219586,311652,1315585,717673,597912,0,0,0,True
327,rural,all ages,1118860,566965,551895,382036,156183,225853,736824,410782,326042,0,0,0,True
327,urban,all ages,727963,370294,357669,149202,63403,85799,578761,306891,271870,0,0,0,True
328,total,all ages,3872846,1983064,1889782,1374066,586442,787624,2498780,1396622,1102158,0,0,0,True
328,rural,all ages,2812495,1437286,1375209,1096191,464930,631261,1716304,972356,743948,0,0,0,True
328,urban,all ages,1060351,545778,514573,277875,121512,156363,782476,424266,358210,0,0,0,True
329,total,all ages,2819086,1451542,1367544,968582,422809,545773,1850504,1028733,821771,0,0,0,True
329,rural,all ages,2529652,1304916,1224736,912429,398524,513905,1617223,906392,710831,0,0,0,True
329,urban,all ages,289434,146626,142808,56153,24285,31868,233281,122341,110940,0,0,0,True
330,total,all ages,3007134,1551066,1456068,1517467,697571,819896,1489667,853495,636172,0,0,0,True
330,rural,all ages,2644906,1362469,1282437,1411617,648828,762789,1233289,713641,519648,0,0,0,True
330,urban,all ages,362228,188597,173631,105850,48743,57107,256378,139854,116524,0,0,0,True
331,total,all ages,1676276,857199,819077,592591,260725,331866,1083685,596474,487211,0,0,0,True
331,rural,all ages,1439981,737771,702210,549320,242174,307146,890661,495597,395064,0,0,0,True
331,urban,all ages,236295,119428,116867,43271,18551,24720,193024,100877,92147,0,0,0,True
332,total,all ages,3988845,2051541,1937304,1902413,899522,1002891,2086432,1152019,934413,0,0,0,True
332,rural,all ages,3447185,1768336,1678849,1715508,806927,908581,1731677,961409,770268,0,0,0,True
332,urban,all ages,541660,283205,258455,186905,92595,94310,354755,190610,164145,0,0,0,True
333,total,all ages,7103807,3627564,3476243,3047973,1450377,1597596,4055834,2177187,1878647,0,0,0,True
333,rural,all ages,5703115,2917822,2785293,2509613,1204137,1305476,3193502,1713685,1479817,0,0,0,True
333,urban,all ages,1400692,709742,690950,538360,246240,292120,862332,463502,398830,0,0,0,True
334,total,all ages,3502404,1790920,1711484,1343957,589439,754518,2158447,1201481,956966,0,0,0,True
334,rural,all ages,3052956,1561976,1490980,1220590,536315,684275,1832366,1025661,806705,0,0,0,True
334,urban,all ages,449448,228944,220504,123367,53124,70243,326081,175820,150261,0,0,0,True
335,total,all ages,7717563,3966889,3750674,2470355,1048849,1421506,5247208,2918040,2329168,0,0,0,True
335,rural,all ages,4639264,2373787,2265477,1640987,702231,938756,2998277,1671556,1326721,0,0,0,True
335,urban,all ages,3078299,1593102,1485197,829368,346618,482750,2248931,1246484,1002447,0,0,0,True
336,total,all ages,5167600,2653768,2513832,1687045,774902,912143,3480555,1878866,1601689,0,0,0,True
336,rural,all ages,3728727,1921112,1807615,1374641,639676,734965,2354086,1281436,1072650,0,0,0,True
336,urban,all ages,1438873,732656,706217,312404,135226,177178,1126469,597430,529039,0,0,0,True
337,total,all ages,10009781,5119389,4890392,2401088,1063343,1337745,7608693,4056046,3552647,0,0,0,True
337,rural,all ages,4277619,2196554,2081065,1348253,603528,744725,2929366,1593026,1336340,0,0,0,True
337,urban,all ages,5732162,2922835,2809327,1052835,459815,593020,4679327,2463020,2216307,0,0,0,True
338,total,all ages,5519145,2814653,2704492,1440757,602876,837881,4078388,2211777,1866611,0,0,0,True
338,rural,all ages,3390646,1722945,1667701,1001102,413178,587924,2389544,1309767,1079777,0,0,0,True
338,urban,all ages,2128499,1091708,1036791,439655,189698,249957,1688844,902010,786834,0,0,0,True
339,total,all ages,3596674,1838095,1758579,1363682,538758,824924,2232992,1299337,933655,0,0,0,True
339,rural,all ages,3296901,1685777,1611124,1294249,511402,782847,2002652,1174375,828277,0,0,0,True
339,urban,all ages,299773,152318,147455,69433,27356,42077,230340,124962,105378,0,0,0,True
340,total,all ages,2930115,1496996,1433119,1305210,494938,810272,1624905,1002058,622847,0,0,0,True
340,rural,all ages,2556801,1304208,1252593,1181941,445588,736353,1374860,858620,516240,0,0,0,True
340,urban,all ages,373314,192788,180526,123269,49350,73919,250045,143438,106607,0,0,0,True
341,total,all ages,4850029,2500819,2349210,1244823,557995,686828,3605206,1942824,1662382,0,0,0,True
341,rural,all ages,1775885,909519,866366,519619,227167,292452,1256266,682352,573914,0,0,0,True
341,urban,all ages,3074144,1591300,1482844,725204,330828,394376,2348940,1260472,1088468,0,0,0,True
342,total,all ages,4496694,2356766,2139928,908557,429851,478706,3588137,1926915,1661222,0,0,0,True
342,rural,all ages,0,0,0,0,0,0,0,0,0,0,0,0,True
342,urban,all ages,4496694,2356766,2139928,908557,429851,478706,3588137,1926915,1661222,0,0,0,True
343,total,all ages,8161961,4173778,3988183,2630304,1130501,1499803,5531657,3043277,2488380,0,0,0,True
343,rural,all ages,6074188,3109219,2964969,2087310,892367,1194943,3986878,2216852,1770026,0,0,0,True
343,urban,all ages,2087773,1064559,1023214,542994,238134,304860,1544779,826425,718354,0,0,0,True
344,total,all ages,5913457,3007885,2905572,1835045,740972,1094073,4078412,2266913,1811499,0,0,0,True
